000010A0 000010A6 _memset
0003D1BA 0003D1E1 ?raAddPayloadFlatFP@Compiler@@QAEX_KI@Z
0003D267 0003D29A ?SetRegVarFlatFP@Compiler@@QAEXIPAULclVarDsc@1@@Z
0003D29A 0003D2CD ?genRegVarBirthFlatFP@Compiler@@QAEXPAULclVarDsc@1@@Z
0003D2CD 0003D2E8 ?genRegVarBirthFlatFP@Compiler@@QAEXPAUGenTree@@@Z
0003D34D 0003D3A4 ?raUpdateHeightsForVarsFlatFP@Compiler@@QAEXI@Z
0003D3FE 0003D425 ?genRegVarDeathFlatFP@Compiler@@QAEXPAULclVarDsc@1@@Z
0003D425 0003D440 ?genRegVarDeathFlatFP@Compiler@@QAEXPAUGenTree@@@Z
0003D466 0003D4AB ?raRegForVarFlatFP@Compiler@@QAEII@Z
0003D4CD 0003D594 ?raVarIsGreaterValueFlatFP@Compiler@@QAE_NPAULclVarDsc@1@0@Z
0003D6EB 0003D78A ?emitIns_R_ARR@emitter@@QAEXEW4emitAttr@@W4emitRegs@@11H@Z
0003DCC5 0003DCF5 ?rsFreeNeededRegCount@Compiler@@QAEII@Z
0003DDAC 0003DE34 ?genRestoreAddrMode@Compiler@@IAEIPAUGenTree@@0_N@Z
0003E0D5 0003E204 ?genCodeForTreeFlatFP_Cast@Compiler@@QAEXPAUGenTree@@@Z
0003E2AC 0003E2FB ?fgMorphIntoHelperCall@Compiler@@IAEPAUGenTree@@PAU2@H0@Z
0003E3DE 0003E3FD ?gtNewCastNodeL@Compiler@@QAEPAUGenTree@@EPAU2@E@Z
0003E612 0003E754 ?jitIsScaleIndexMul@@YG_NI@Z
0003E846 0003E88F __ftol2
0003EC44 0003ECD8 ?genArithmFlatFP@Compiler@@QAEIEPAUGenTree@@I0I_N@Z
0003ECD8 0003ED81 ?genCodeForTreeFlatFP_Arithm@Compiler@@QAEXPAUGenTree@@@Z
0003EDE0 0003EE22 ?AreEquivalent@typeInfo@@SG_NABV1@0@Z
0003EE49 0003EE6E ?tiCompatibleWith@typeInfo@@SGHPAVICorJitInfo@@ABV1@1_N@Z
0003EE6E 0003EE8B ?tiCompatibleWith@Compiler@@QBEHABVtypeInfo@@0_N@Z
0003EF29 0003EF37 ?verVerifyThisPtrInitialised@Compiler@@QAEXXZ
0003F015 0003F029 ?IsUnboxedGenericTypeVar@typeInfo@@QBEHXZ
0003F0A2 0003F186 ?verVerifyField@Compiler@@QAEXABUCORINFO_FIELD_INFO@@PBVtypeInfo@@HH@Z
0003F1F0 0003F216 ?verIsByRefLike@Compiler@@QAEHABVtypeInfo@@@Z
0003F320 0003F364 ?nraInit@norls_allocator@@QAE_NPAUIEEMemoryManager@@IH@Z
0003F3A3 0003F3C8 ?nraFree@norls_allocator@@QAEXXZ
0003F417 0003F73A ?verVerifyCall@Compiler@@QAEXW4opcode_t@@H_N11HPBE2PAUCORINFO_CALL_INFO@@@Z
0003F73A 0003F74E ?IsObjRef@typeInfo@@QBEHXZ
0003F787 0003F7C1 ?verIsCallToInitThisPtr@Compiler@@QAEHPAUCORINFO_CLASS_STRUCT_@@0@Z
0003F809 0003F831 ?eeGetMethodSig@Compiler@@QAEXPAUCORINFO_METHOD_STRUCT_@@PAUCORINFO_SIG_INFO@@PAUCORINFO_CLASS_STRUCT_@@@Z
0003F8F8 0003F90C ?IsReadonlyByRef@typeInfo@@QBEHXZ
0003F987 0003FA3E ?emitIns_ARR_R@emitter@@QAEXEW4emitAttr@@W4emitRegs@@11H@Z
0003FA7A 0003FAA1 ?DereferenceByRef@@YG?AVtypeInfo@@ABV1@@Z
0003FBB4 0003FC70 ?impImportGenericsStaticFieldAccess@Compiler@@IAEPAUGenTree@@HEPAUCORINFO_FIELD_STRUCT_@@I@Z
0003FDB5 0003FDCF ?IsIntegerType@typeInfo@@QBEHXZ
0004070A 00040831 ?genCondJumpLng@Compiler@@IAEXPAUGenTree@@PAUBasicBlock@@1_N@Z
00040831 00040889 ?genJccLongHi@Compiler@@IAEXEPAUBasicBlock@@0_N@Z
00040889 00040C91 ?genJccLongLo@Compiler@@IAEXEPAUBasicBlock@@0@Z
00040CEF 00040D1E ?genTransitionBlockFlatFP@Compiler@@QAEPAUBasicBlock@@PAUFlatFPStateX87@@PAU2@1@Z
00040D1E 00040D4C ?genCondJumpLngFlatFP@Compiler@@QAEXPAUGenTree@@PAUBasicBlock@@1@Z
0004102F 0004105B ?rsMarkRegFree@Compiler@@QAEXIPAUGenTree@@@Z
000410A5 000410AF ?inst_FS@Compiler@@QAEXEI@Z
000410AF 00041101 ?emitIns_F_F0@emitter@@QAEXEI@Z
00041145 0004114F ?inst_FN@Compiler@@QAEXEI@Z
0004114F 000411A1 ?emitIns_F0_F@emitter@@QAEXEI@Z
0004120E 00041235 ?FlatFPX87_Unload@Compiler@@QAEXPAUFlatFPStateX87@@I_N@Z
00041235 00041262 ?FlatFPX87_Pop@Compiler@@QAEIPAUFlatFPStateX87@@_N@Z
000412CE 000412D5 ?genUse_fcomip@Compiler@@IAE_NXZ
000412D5 000413A0 ?genCompInsFlatFP@Compiler@@QAE_NPAUGenTree@@0@Z
000413A0 000414CC ?genCondJumpFltFlatFP@Compiler@@QAEXPAUGenTree@@PAUBasicBlock@@1_N@Z
00041C88 00041D72 ?genMoveRegPair@Compiler@@IAEXPAUGenTree@@II@Z
00041D72 00041DA7 ?genMoveRegPairHalf@Compiler@@IAEXPAUGenTree@@IIH@Z
00041EE1 00041F2D ?rsMultRegFree@Compiler@@QAEXI@Z
00041F2D 00041F99 ?rsRmvMultiReg@Compiler@@QAEXI@Z
00041FA6 00042022 ?rsRecMultiReg@Compiler@@QAEXI@Z
0004207F 000420C1 ?bbFindInnermostTryRegionContainingHandlerRegion@Compiler@@QAEII@Z
000420D7 0004213B ?genConstantLoadFlatFP@Compiler@@QAE_NPAUGenTree@@_N@Z
00042168 000421B2 ?genCodeForTreeFlatFP_Const@Compiler@@QAEXPAUGenTree@@@Z
000422D6 00042327 ?genCheckOverflow@Compiler@@IAEXPAUGenTree@@I@Z
00042619 00042639 ?genSignedType@@YGEE@Z
000426DF 0004270A ?genUnsignedType@@YGEE@Z
00042EF0 00042F0F ?gtFindLinkCB@Compiler@@SG?AW4fgWalkResult@1@PAPAUGenTree@@PAX@Z
00042F0F 00042F44 ?gtFindLink@Compiler@@QAEPAPAUGenTree@@PAU2@0@Z
00043085 000432E8 ?impInitializeArrayIntrinsic@Compiler@@IAEPAUGenTree@@PAUCORINFO_SIG_INFO@@@Z
00043628 0004364F ?impGetStringClass@Compiler@@IAEPAUCORINFO_CLASS_STRUCT_@@XZ
0004372E 0004376E ?optUnmarkLoopBlocks@Compiler@@IAEXPAUBasicBlock@@0@Z
0004376E 00043799 ?rsPickFreeReg@Compiler@@QAEII@Z
0004391A 00043A49 ?impMoveTempsAndUpdateStack@Compiler@@IAEPAUBasicBlock@@PAU2@0I@Z
00043A6B 00043F0C ?impRuntimeLookupToTree@Compiler@@IAEPAUGenTree@@W4CORINFO_RUNTIME_LOOKUP_KIND@@PAUCORINFO_RUNTIME_LOOKUP@@PAX@Z
00043F49 00043F68 ?inst_FS_ST@Compiler@@QAEXEW4emitAttr@@PAUTempDsc@1@I@Z
0004406A 00044107 ?genRoundFpExpressionFlatFP@Compiler@@QAEXPAUGenTree@@E@Z
00044153 00044198 ?rsUnspillInPlace@Compiler@@QAEPAUTempDsc@1@PAUGenTree@@_N@Z
00044284 0004432C ?genAsgArithmFlatFP@Compiler@@QAEIEPAUGenTree@@I0I@Z
0004432C 000443AB ?genCodeForTreeFlatFP_AsgArithm@Compiler@@QAEXPAUGenTree@@@Z
000444A3 000444D2 ?inst_RV_TT_IV@Compiler@@QAEXEIPAUGenTree@@J@Z
00044689 000448DA ?genCodeForLongModInt@Compiler@@IAEIPAUGenTree@@I@Z
000449A0 00044AC4 ?fgComputeFPlvls@Compiler@@IAEXPAUGenTree@@@Z
00045478 00045497 ?jitStaticFldIsGlobAddr@@YG_NPAUCORINFO_FIELD_STRUCT_@@@Z
00045497 000455D3 ?emitOutputCV@emitter@@QAEPAEPAEPAUinstrDesc@1@IPAUCnsVal@1@@Z
000455D3 000455F3 ?emitNewInstrDsp@emitter@@IAEPAUinstrDesc@1@W4emitAttr@@H@Z
00045600 00045634 ?emitInsSizeCV@emitter@@QAEIPAUinstrDesc@1@I@Z
00045691 000456D5 ?impInitClass@Compiler@@IAEPAUGenTree@@HPAUCORINFO_FIELD_STRUCT_@@@Z
0004574D 000457E4 ?emitIns_C@emitter@@QAEXEW4emitAttr@@PAUCORINFO_FIELD_STRUCT_@@H@Z
00045811 00045836 ?emitDataGenData@emitter@@QAEXIPBXI@Z
00045836 000458A7 ?genMakeConst@Compiler@@IAEPAUGenTree@@PBXEPAU2@_N@Z
000458FB 00045900 ?isCacheCleanupRequired@CILJit@@EAGHXZ
00045A08 00045AC9 ?emitIns_R_C@emitter@@QAEXEW4emitAttr@@W4emitRegs@@PAUCORINFO_FIELD_STRUCT_@@H@Z
00045DD4 00045E37 ?emitInsSizeCV@emitter@@QAEIPAUinstrDesc@1@IH@Z
00045E37 00045ED8 ?emitIns_C_I@emitter@@QAEXEW4emitAttr@@PAUCORINFO_FIELD_STRUCT_@@HH@Z
00045ED8 00045F01 ?emitNewInstrDCM@emitter@@IAEPAUinstrDescDCM@1@W4emitAttr@@HHH@Z
0004604A 00046059 ?Pop@FlatFPStateX87@@QAEIXZ
0004619F 000461C7 ?eeFindField@Compiler@@QAEPAUCORINFO_FIELD_STRUCT_@@IPAUCORINFO_MODULE_STRUCT_@@PAUCORINFO_METHOD_STRUCT_@@@Z
000461F6 00046250 ?genMulRegBy@Compiler@@IAEXIJPAUGenTree@@E_N@Z
00046332 0004636E ?inst_TT_SH@Compiler@@QAEXEPAUGenTree@@II@Z
00046569 00046580 ?fgRemoveReturnBlock@Compiler@@QAEXPAUBasicBlock@@@Z
000465CE 000465E9 ?IsScaleIndexMul@GenTree@@QAEIXZ
00046739 00046765 ?genRegVarDiesInSubTree@Compiler@@QAE_NPAUGenTree@@I@Z
00046765 0004677E ?genRegVarDiesInSubTreeWorker@Compiler@@SG?AW4fgWalkResult@1@PAPAUGenTree@@PAX@Z
00046862 00046902 ?emitIns_R_AX@emitter@@QAEXEW4emitAttr@@W4emitRegs@@1IH@Z
00046B9F 00046C05 ?FlatFPX87_SwapStack@Compiler@@QAEXPAUFlatFPStateX87@@II_N@Z
00046D56 00046E2F ?SpillFlatFP@Compiler@@QAEXI@Z
00046E6C 00046F04 ?UnspillFlatFP@Compiler@@QAEXPAUSpillDsc@1@@Z
000473C3 000473CE ?genRoundFpExpression@Compiler@@IAEXPAUGenTree@@E@Z
000476CA 000476EB ?UnspillFlatFP@Compiler@@QAEXPAUGenTree@@@Z
000477A6 000477F8 ?rsGrabRegPair@Compiler@@QAEII@Z
00047911 0004792B ?impFindValueClasses@Compiler@@KG?AW4fgWalkResult@1@PAPAUGenTree@@PAX@Z
0004792B 00047960 ?rsTrackRegSwap@Compiler@@QAEXII@Z
00047B14 00047B1E ?inst_RV_RV_IV@Compiler@@QAEXEIII@Z
00047B1E 00047B72 ?emitIns_R_R_I@emitter@@QAEXEW4emitRegs@@0H@Z
00047E89 00047ED4 ?genMakeRegPairAvailable@Compiler@@IAEXI@Z
00047F0F 00047F41 ?rsIsTreeInReg@Compiler@@QAE_NIPAUGenTree@@@Z
00047F41 00048008 ?rsUnspillRegPair@Compiler@@QAEXPAUGenTree@@IW4KeepReg@1@@Z
00048047 00048068 ?setBBProfileWeight@BasicBlock@@QAEXI@Z
0004850B 00048538 ?fgIsBetterFallThrough@Compiler@@QAE_NPAUBasicBlock@@0@Z
00048684 00048847 ?fgRelocateEHRange@Compiler@@QAEPAUBasicBlock@@IPAU2@0@Z
000488AD 00048965 ?fgChangeSwitchBlock@Compiler@@QAEXPAUBasicBlock@@0@Z
00048972 00048A92 ?impArrayAccessIntrinsic@Compiler@@IAEPAUGenTree@@PAUCORINFO_CLASS_STRUCT_@@PAUCORINFO_SIG_INFO@@H_NW4CorInfoIntrinsics@@@Z
00048AD6 00048B3F ?genMakeAddressable2@Compiler@@IAEIPAUGenTree@@IW4KeepReg@1@_N222@Z
00048EFE 00048F55 ?genComputeAddressable@Compiler@@IAEXPAUGenTree@@IW4KeepReg@1@I1_N@Z
00048F55 000491D6 ?genMakeAddrArrElem@Compiler@@IAEIPAUGenTree@@0IW4KeepReg@1@@Z
00049203 0004922E ?eeGetCallSiteSig@Compiler@@QAEXIPAUCORINFO_MODULE_STRUCT_@@PAUCORINFO_METHOD_STRUCT_@@PAUCORINFO_SIG_INFO@@@Z
0004923F 00049287 ?gcInitEncoderLookupTable@Compiler@@KGXXZ
00049287 000492A0 ?InitUtilcode@@YGXABUCoreClrCallbacks@@@Z
000492A0 000492C0 ?sxsJitStartup@@YGXABUCoreClrCallbacks@@@Z
000492C0 00049317 ?InitNodeSize@GenTree@@SGXXZ
00049317 0004932B ?compStartup@Compiler@@SGXXZ
00049388 000493A6 _getJit@0
00049618 0004963F ?tiMergeCompatibleWith@typeInfo@@SGHPAVICorJitInfo@@ABV1@1_N@Z
0004966B 00049688 ?tiMergeCompatibleWith@Compiler@@QBEHABVtypeInfo@@0_N@Z
0004979E 000497B9 ?impFieldTokenToHandle@Compiler@@IAEPAUGenTree@@IPAPAUCORINFO_FIELD_STRUCT_@@PAH@Z
000497B9 000498F4 ?gtNewRefCOMfield@Compiler@@QAEPAUGenTree@@PAU2@W4CorInfoFieldAccess@@IEPAUCORINFO_CLASS_STRUCT_@@0@Z
00049A87 00049AA8 ?genAdjustSP@Compiler@@IAEXH@Z
00049AB9 00049B06 ?emitStackKillArgs@emitter@@QAEXPAEI@Z
00049B2A 00049B5A ?NormaliseForStack@@YG?AVtypeInfo@@ABV1@@Z
00049BAE 00049BBC ?bbStackDepthOnEntry@BasicBlock@@QAEIXZ
00049BBC 00049BCB ?bbThisOnEntry@BasicBlock@@QAEHXZ
00049BCB 00049C1A ?verEntryStateMatches@Compiler@@QAEHPAUBasicBlock@@@Z
00049C7C 00049C96 ?IsNumberType@typeInfo@@QBEHXZ
00049C96 00049CC8 ?verVerifyCond@Compiler@@QAEXABVtypeInfo@@0I@Z
00049D96 00049DAA ?IsPermanentHomeByRef@typeInfo@@QBEHXZ
00049DAA 00049DBC ?DereferenceByRef@typeInfo@@QAEAAV1@XZ
00049F15 00049F5A ?verIsSDArray@Compiler@@QAEHVtypeInfo@@@Z
00049FE2 0004A038 ?verGetArrayElemType@Compiler@@QAE?AVtypeInfo@@V2@@Z
0004A4F2 0004A52D ?emitIns_Nop@emitter@@QAEXI@Z
0004A60D 0004A647 ?verIsBoxable@Compiler@@QAEHABVtypeInfo@@@Z
0004A71D 0004A7F7 ?verCheckNestingLevel@Compiler@@QAEXPAUEHNodeDsc@1@@Z
0004A7F8 0004A85B ?fgFlowToFirstBlockOfInnerTry@Compiler@@IAE_NPAUBasicBlock@@0_N@Z
0004A911 0004A938 ?fgInitTryRange@Compiler@@IAEPAUEHblkDsc@1@PAUBasicBlock@@PAI1@Z
0004A938 0004AA1B ?fgControlFlowPermitted@Compiler@@IAEXPAUBasicBlock@@0H@Z
0004AA89 0004AAEF ?fgCheckBasicBlockControlFlow@Compiler@@IAEXXZ
0004AAEF 0004AB4B ?fgInitHndRange@Compiler@@IAEPAUEHblkDsc@1@PAUBasicBlock@@PAI1PA_N@Z
0004ACA6 0004ACDC ?IsInTryRegion@EHblkDsc@Compiler@@QAE_NPAUBasicBlock@@PAV2@@Z
0004B27F 0004B2D0 ?impPopRevList@Compiler@@IAEPAUGenTree@@IPAIPAUCORINFO_SIG_INFO@@I@Z
0004B2D0 0004B381 ?impPopArgsForUnmanagedCall@Compiler@@IAEXPAUGenTree@@PAUCORINFO_SIG_INFO@@@Z
0004B381 0004B43A ?emitIns_J_S@emitter@@QAEXEW4emitAttr@@PAUBasicBlock@@HH@Z
0004B43A 0004B4CC ?genPInvokeCallProlog@Compiler@@IAEIPAULclVarDsc@1@HPAUCORINFO_METHOD_STRUCT_@@PAUBasicBlock@@@Z
0004B57B 0004B5EC ?genPInvokeMethodEpilog@Compiler@@IAEXXZ
0004B60D 0004B6B6 ?genPInvokeMethodProlog@Compiler@@IAEII@Z
0004B6DA 0004B8CA ?genPInvokeCallEpilog@Compiler@@IAEXPAULclVarDsc@1@I@Z
0004BC44 0004BC80 ?impCanPInvokeInlineCallSite@Compiler@@IAE_NE@Z
0004BC80 0004BCEF ?impCanPInvokeInline@Compiler@@IAE_NE@Z
0004BCEF 0004BD0D ?impLocAllocOnStack@Compiler@@IAEHXZ
0004C097 0004C0F2 ?gsGSChecksInitCookie@Compiler@@QAEXXZ
0004C116 0004C2D1 ?genLclHeap@Compiler@@IAEIPAUGenTree@@@Z
0004C2E0 0004C2F9 ?genPopRegs@Compiler@@IAEXIII@Z
0004C2F9 0004C3AD ?genEmitGSCookieCheck@Compiler@@IAEX_N@Z
0004C535 0004C642 ?impImportLdvirtftn@Compiler@@IAEPAUGenTree@@PAU2@H@Z
0004C7F6 0004C7FC __initterm_e
0004C7FC 0004C802 __lock
0004C802 0004C808 ___dllonexit
0004C808 0004C80E __unlock
0004C80E 0004C814 __initterm
0004C87D 0004C8A9 _DllMain@12
0004C8C2 0004C959 ___DllMainCRTStartup
0004C988 0004C9AB __DllMainCRTStartup@12
0004C9AB 0004C9E7 ___security_init_cookie
0004C9F0 0004CA80 __onexit
0004CA9C 0004CAB3 _atexit
0004CB00 0004CB1B __RTC_Initialize
0004CB24 0004CBDD __CRT_INIT@12
0004CC08 0004CC18 ___sse2_available_init
0004CC6D 0004CD48 ?emitIns_C_R@emitter@@QAEXEW4emitAttr@@PAUCORINFO_FIELD_STRUCT_@@W4emitRegs@@H@Z
0004CD48 0004CD9D ?impSpillStackEnsure@Compiler@@IAEX_N@Z
0004D090 0004D0AF __aullshr
0004D0AF 0004D124 __aullrem
0004D124 0004D1D6 __allrem
0004D1D6 0004D280 __alldiv
0004D280 0004D2E8 __aulldiv
0004D2E8 0004D31C __allmul
000581AC 000581EE ?genEnsureCodeEmitted@Compiler@@IAEXI@Z
000581EE 0005825C ?genDecRegBy@Compiler@@IAEXIJPAUGenTree@@@Z
0005825C 00058293 ?genIsLocalLastUse@Compiler@@IAE_NPAUGenTree@@@Z
00058293 000582C4 ?fgIsVarAssignedTo@Compiler@@KG?AW4fgWalkResult@1@PAPAUGenTree@@PAX@Z
000582C4 00058370 ?genCodeForProfileHook@Compiler@@IAEXXZ
00058370 0005838C ?gtNewOperNode@Compiler@@QAEPAUGenTree@@EE@Z
0005838C 00058431 ?genPushRegs@Compiler@@IAEIIPAI0@Z
00058431 000584E7 ?genEmitGCPoll@Compiler@@IAEXI@Z
000584E7 00058654 ?genCodeForTreeLeaf_GT_JMP@Compiler@@IAEXPAUGenTree@@@Z
00058654 0005865E ?compShutdown@Compiler@@SGXXZ
0005865E 00058773 ?compProcessScopesUntil@Compiler@@QAEXIP6GXPAULocalVarDsc@1@I@Z1I@Z
00058773 000587B2 ?eeGetPInvokeCookie@Compiler@@QAEPAUGenTree@@PAUCORINFO_SIG_INFO@@@Z
000587B2 000587E0 ?fatal@@YGXHPAVICorJitInfo@@@Z
000587E0 000587F2 ?badCode@@YGXPAVICorJitInfo@@@Z
000587F3 00058805 ?noWay@@YGXPAVICorJitInfo@@@Z
00058806 00058812 ?NOMEM@@YGXXZ
00058813 00058835 ?__EEfilter@@YGJPAU_EXCEPTION_POINTERS@@PAX@Z
00058835 0005885A ?__JITfilter@@YGJPAU_EXCEPTION_POINTERS@@PAX@Z
0005885A 0005888F ?bbIsTryBeg@Compiler@@QAE_NPAUBasicBlock@@@Z
0005888F 000588C9 ?bbIsTryHndEnd@Compiler@@QAE_NPAUBasicBlock@@@Z
000588C9 000588E7 ?ebdTryEndBlkNum@Compiler@@QAEIPAUEHblkDsc@1@@Z
000588E7 00058923 ?fgBeginScopeLife@Compiler@@KGXPAULocalVarDsc@1@I@Z
00058923 00058963 ?fgEndScopeLife@Compiler@@KGXPAULocalVarDsc@1@I@Z
00058963 0005898D ?fgMarkInScope@@YGXPAUBasicBlock@@_K@Z
0005898D 000589BB ?fgUnmarkInScope@@YGXPAUBasicBlock@@_K@Z
000589BB 000589D1 ?lpIterOperType@LoopDsc@Compiler@@QAEEXZ
000589D1 00058A06 ?fgInsertBBbefore@Compiler@@QAEXPAUBasicBlock@@0@Z
00058A06 00058A24 ?acdHelper@Compiler@@KGIW4addCodeKind@1@@Z
00058A24 00058A8E ?fgRemoveJTrue@Compiler@@QAEXPAUBasicBlock@@@Z
00058A8E 00058B04 ?fgUnwrapProxy@Compiler@@IAEPAUGenTree@@PAU2@@Z
00058B04 00058B2A ?fgGetBigOffsetMorphingTemp@Compiler@@IAEIE@Z
00058B2A 00058C01 ?fgGetCritSectOfStaticMethod@Compiler@@QAEPAUGenTree@@XZ
00058C01 00058FB3 ?fgExtendDbgLifetimes@Compiler@@IAEXXZ
00058FB3 000591B4 ?fgInstrumentMethod@Compiler@@IAEXXZ
000591B4 000591D3 ?pasEnumGCoffsCount@PendingArgsStack@@QAEIXZ
000591D3 0005922F ?pasKill@PendingArgsStack@@QAEXI@Z
0005922F 000592E6 ?pasEnumGCoffs@PendingArgsStack@@QAEIIPAI@Z
000592E6 00059326 ?fgWalkAllTreesPre@Compiler@@QAEXP6G?AW4fgWalkResult@1@PAPAUGenTree@@PAX@Z1@Z
00059326 00059343 ?mayNeedShadowCopy@ShadowParamVarInfo@@SG_NPAULclVarDsc@Compiler@@@Z
00059343 00059692 ?gsMarkPtrsAndAssignGroups@Compiler@@SG?AW4fgWalkResult@1@PAPAUGenTree@@PAX@Z
00059692 000597FB ?gsFindVulnerableParams@Compiler@@QAE_NXZ
000597FB 00059879 ?gsReplaceShadowParams@Compiler@@SG?AW4fgWalkResult@1@PAPAUGenTree@@PAX@Z
00059879 00059AA1 ?gsParamsToShadows@Compiler@@QAEXXZ
00059AA1 00059AF7 ?gsCopyShadowParams@Compiler@@QAEXXZ
00059AF7 00059B46 ?impPushOnStackNoType@Compiler@@IAEXPAUGenTree@@@Z
00059B46 00059B58 ?verRaiseVerifyException@Compiler@@QAEXXZ
00059B79 00059BA0 ?impGetRefAnyClass@Compiler@@IAEPAUCORINFO_CLASS_STRUCT_@@XZ
00059BA0 00059BC7 ?impGetTypeHandleClass@Compiler@@IAEPAUCORINFO_CLASS_STRUCT_@@XZ
00059BC7 00059BEE ?impGetRuntimeArgumentHandle@Compiler@@IAEPAUCORINFO_CLASS_STRUCT_@@XZ
00059BEE 00059C15 ?impGetObjectClass@Compiler@@IAEPAUCORINFO_CLASS_STRUCT_@@XZ
00059C2F 00059C8B ?verNeedsVerification@Compiler@@QAEHXZ
00059C8B 00059CB3 ?impResetLeaveBlock@Compiler@@IAEXPAUBasicBlock@@I@Z
00059CB3 00059CD3 ?varTypeIsComposite@@YG_NE@Z
00059CD3 00059CEB ?IsMethod@typeInfo@@QBEHXZ
00059CEB 00059D2F ?gtNewIconEmbFldHndNode@Compiler@@QAEPAUGenTree@@PAUCORINFO_FIELD_STRUCT_@@IPAX@Z
00059D2F 00059D78 ?impReimportMarkSuccessors@Compiler@@IAEXPAUBasicBlock@@@Z
00059D78 00059D9F ?impIsLDFTN_TOKEN@Compiler@@IAE_NPBE0@Z
00059D9F 00059DCC ?impIsDUP_LDVIRTFTN_TOKEN@Compiler@@IAE_NPBE0@Z
00059DCC 00059E01 ?verRaiseVerifyExceptionIfNeeded@Compiler@@QAEXXZ
00059E01 00059E3C ?verIsBoxedValueType@Compiler@@QAE_NVtypeInfo@@@Z
00059E3C 00059E8F ?verCheckDelegateCreation@Compiler@@QAEHPBE0AAIH@Z
00059E8F 00059EE9 ?verResetCurrentState@Compiler@@QAEXPAUBasicBlock@@PAUEntryStateStruct@@@Z
00059EE9 00059F72 ?verMergeEntryStates@Compiler@@QAEHPAUBasicBlock@@@Z
00059F72 0005A31D ?verCheckTailCallConstraint@Compiler@@QAE_NW4opcode_t@@H_N1@Z
0005A31D 0005A38E ?verVerifyLDIND@Compiler@@QAE?AVtypeInfo@@ABV2@E@Z
0005A38E 0005A3FF ?verVerifySTIND@Compiler@@QAE?AVtypeInfo@@ABV2@0E@Z
0005A3FF 0005A450 ?impNormStructVal@Compiler@@IAEPAUGenTree@@PAU2@PAUCORINFO_CLASS_STRUCT_@@I_N@Z
0005A450 0005A46A ?impEvalSideEffects@Compiler@@IAEXXZ
0005A46A 0005A511 ?verConvertBBToThrowVerificationException@Compiler@@QAEXPAUBasicBlock@@@Z
0005A511 0005A537 ?verHandleVerificationFailure@Compiler@@QAEXPAUBasicBlock@@@Z
0005A537 0005A6A1 ?impInsertHelperCall@Compiler@@IAEXPAUCORINFO_HELPER_DESC@@@Z
0005A6A1 0005A6E3 ?impHandleAccessAllowedInternal@Compiler@@IAEXW4CorInfoIsAccessAllowedResult@@PAUCORINFO_HELPER_DESC@@@Z
0005A6E3 0005A6F0 ?instNop@Compiler@@QAEXI@Z
0005A6F0 0005A716 ?inst_TT_CL@Compiler@@QAEXEPAUGenTree@@I@Z
0005A716 0005A74A ?raIsVarargsStackArg@Compiler@@IAE_NI@Z
0005A74A 0005A7AD ?compMapILvarNum@Compiler@@QAEII@Z
0005A7AD 0005A7C3 ?lvaGetStruct@Compiler@@QAEPAUCORINFO_CLASS_STRUCT_@@I@Z
0005A7C3 0005A810 ?jitIterSmallOverflow@@YG_NJE@Z
0005A810 0005A853 ?jitIterSmallUnderflow@@YG_NJE@Z
0005A853 0005ABAC ?optComputeLoopRep@Compiler@@IAE_NJJJEEE_N0PAI@Z
0005ABAC 0005ABE9 ?optAddCopiesCallback@Compiler@@KG?AW4fgWalkResult@1@PAPAUGenTree@@PAX@Z
0005ABE9 0005AC0F ?emitMarkStackLvl@emitter@@IAEXI@Z
0005AC0F 0005AC71 ?emitGCregDeadUpd@emitter@@QAEXIPAE@Z
0005AC71 0005AC94 ?emitLoopAlign@emitter@@QAEXXZ
0005AC94 0005AD48 ?emitIns_I_AX@emitter@@QAEXEW4emitAttr@@HW4emitRegs@@IH@Z
0005AD48 0005AE32 ?emitIns_AX_R@emitter@@QAEXEW4emitAttr@@W4emitRegs@@1IH@Z
0005AE32 0005AEB9 ?genRegRenameWithMasks@Compiler@@QAEXII@Z
0005AEB9 0005AED4 ?FlatFPX87_Kill@Compiler@@QAEXPAUFlatFPStateX87@@I@Z
0005AED4 0005AEF3 ?genDiscardFlatFP@Compiler@@QAEXPAUGenTree@@@Z
0005AEF3 0005B002 ?tiMergeToCommonParent@typeInfo@@SGHPAVICorJitInfo@@PAV1@PBV1@@Z
0005B002 0005B01C ?tiMergeToCommonParent@Compiler@@QBEHPAVtypeInfo@@PBV2@@Z
0005B01C 0005B03E ?bitVectSet@FixedBitVect@@QAEXI@Z
0005B03E 0005B065 ?bitVectOr@FixedBitVect@@QAEXPAV1@@Z
0005B065 0005B0DA ?bitVectGetNext@FixedBitVect@@QAEII@Z
0005B0DA 0005B123 ?bitVectInit@FixedBitVect@@SGPAV1@IPAVCompiler@@@Z
0005B123 0005B148 __except_handler4
0005B148 0005B154 ___clean_type_info_names
0005B154 0005B17A __RTC_Terminate
0005B184 0005B1B9 __ValidateImageBase
0005B1B9 0005B1FD __FindPESection
0005B1FD 0005B2B9 __IsNonwritableInCurrentImage
0005B2DC 0005B2E2 __amsg_exit
0005B2E2 0005B2E8 ___CppXcptFilter
0005B2E8 0005B2EE __except_handler4_common
0005B2EE 0005B3EE ___report_gsfailure
0005B3F8 0005B3FE ___clean_type_info_names_internal
0005B3FE 0005B404 __crt_debugger_hook
