00014F25 00014F90 _smm_16@8
000C630C 000C635C ?SetBalance@CMidiOutDevice@@AAEXXZ
000C6361 000C6377 ?SetResourceName@CWaveOutDevice@@AAEXXZ
000C637C 000C63B0 ??0CWaveOutDevice@@QAE@XZ
000C63B5 000C63D7 ??_ECWaveOutDevice@@UAEPAXI@Z
000C63DC 000C640D ?amsndOutSetBalance@CWaveOutDevice@@UAEJJ@Z
000C6412 000C643B ?amsndOutSetVolume@CWaveOutDevice@@UAEJJ@Z
000C6440 000C649B ?amsndOutLoad@CWaveOutDevice@@UAEJPAUIPropertyBag@@@Z
000C64A0 000C64ED ?amsndOutReadFromStream@CWaveOutDevice@@UAEJPAUIStream@@@Z
000C64F2 000C6585 ?GetVolume@CWaveOutDevice@@AAEJXZ
000C658A 000C65FE ??$CreateRendererInstance@VCWaveOutDevice@@@@YGPAVCUnknown@@PAUIUnknown@@PBU_AMOVIESETUP_FILTER@@PAJ@Z
000C6603 000C6633 ?CreateInstance@CWaveOutDevice@@SGPAVCUnknown@@PAUIUnknown@@PAJ@Z
000C6638 000C6652 ?amsndOutGetBalance@CWaveOutDevice@@UAEJPAJ@Z
000C6657 000C6671 ?amsndOutGetVolume@CWaveOutDevice@@UAEJPAJ@Z
000C6676 000C66E6 ?SendComplete@CWaveOutFilter@@AAEXHH@Z
000C66EB 000C6744 ?ScheduleComplete@CWaveOutFilter@@AAEJH@Z
000C6749 000C6794 ?SetFocusWindow@CWaveOutFilter@@EAGJPAUHWND__@@H@Z
000C6799 000C67C0 ?GetFocusWindow@CWaveOutFilter@@EAGJPAPAUHWND__@@PAH@Z
000C67C5 000C6813 ?GetPages@CWaveOutFilter@@UAGJPAUtagCAUUID@@@Z
000C6818 000C6A60 ?GetStatParam@CWaveOutFilter@@UAGJKPAK0@Z
000C6A95 000C6ADB ?SetErrorTolerance@CWaveOutFilter@@UAGJK@Z
000C6AE0 000C6B1B ?GetErrorTolerance@CWaveOutFilter@@UAGJPAK@Z
000C6B20 000C6B42 ?EOSAdvise@CWaveOutFilter@@CGXK@Z
000C6B47 000C6B5E ?NotifyEndOfStream@CWaveOutInputPin@@UAGJPAX@Z
000C6B63 000C6C6B ?TrimBuffer@CWaveOutInputPin@@QAEJPAUIMediaSample@@_J1H@Z
000C6C70 000C6CF8 ?EndOfStream@CWaveOutInputPin@@UAGJXZ
000C6CFD 000C6D3F ?EndFlush@CWaveOutInputPin@@UAGJXZ
000C6D44 000C6D52 ?WriteToStream@CWaveOutFilter@@UAEJPAUIStream@@@Z
000C6D57 000C6D9F ?ReadFromStream@CWaveOutFilter@@UAEJPAUIStream@@@Z
000C6DA4 000C6DAC ?SizeMax@CWaveOutFilter@@UAEHXZ
000C6DB1 000C6E0F ??0CWaveAllocator@@QAE@PAGPAUtWAVEFORMATEX@@PAUIReferenceClock@@PAVCWaveOutFilter@@PAJ@Z
000C6E14 000C6E4B ??1CWaveAllocator@@UAE@XZ
000C6E50 000C6EFF ?SetProperties@CWaveAllocator@@UAGJPAU_AllocatorProperties@@0@Z
000C6F04 000C6F41 ?amsndOutPrepareHeader@CWaveOutFilter@@AAEIPAUwavehdr_tag@@IH@Z
000C6F46 000C6F83 ?amsndOutUnprepareHeader@CWaveOutFilter@@AAEIPAUwavehdr_tag@@IH@Z
000C6F88 000C6FEA ?GetAllParameters@CDS3D@CWaveOutFilter@@UAGJPAU_DS3DLISTENER@@@Z
000C6FEF 000C7051 ?GetDistanceFactor@CDS3D@CWaveOutFilter@@UAGJPAM@Z
000C7056 000C70B8 ?GetDopplerFactor@CDS3D@CWaveOutFilter@@UAGJPAM@Z
000C70BD 000C7122 ?GetOrientation@CDS3D@CWaveOutFilter@@UAGJPAU_D3DVECTOR@@0@Z
000C7127 000C7189 ?GetPosition@CDS3D@CWaveOutFilter@@UAGJPAU_D3DVECTOR@@@Z
000C718E 000C71F0 ?GetRolloffFactor@CDS3D@CWaveOutFilter@@UAGJPAM@Z
000C71F5 000C7257 ?GetVelocity@CDS3D@CWaveOutFilter@@UAGJPAU_D3DVECTOR@@@Z
000C725C 000C72C1 ?SetAllParameters@CDS3D@CWaveOutFilter@@UAGJPBU_DS3DLISTENER@@K@Z
000C72C6 000C732F ?SetDistanceFactor@CDS3D@CWaveOutFilter@@UAGJMK@Z
000C7334 000C739D ?SetDopplerFactor@CDS3D@CWaveOutFilter@@UAGJMK@Z
000C73A2 000C7430 ?SetOrientation@CDS3D@CWaveOutFilter@@UAGJMMMMMMK@Z
000C7435 000C74AE ?SetPosition@CDS3D@CWaveOutFilter@@UAGJMMMK@Z
000C74B3 000C751C ?SetRolloffFactor@CDS3D@CWaveOutFilter@@UAGJMK@Z
000C7521 000C759A ?SetVelocity@CDS3D@CWaveOutFilter@@UAGJMMMK@Z
000C759F 000C75FE ?CommitDeferredSettings@CDS3D@CWaveOutFilter@@UAGJXZ
000C7603 000C7665 ?GetAllParameters@CDS3DB@CWaveOutFilter@@UAGJPAU_DS3DBUFFER@@@Z
000C766A 000C76CF ?GetConeAngles@CDS3DB@CWaveOutFilter@@UAGJPAK0@Z
000C76D4 000C7736 ?GetConeOrientation@CDS3DB@CWaveOutFilter@@UAGJPAU_D3DVECTOR@@@Z
000C773B 000C779D ?GetConeOutsideVolume@CDS3DB@CWaveOutFilter@@UAGJPAJ@Z
000C77A2 000C7804 ?GetMaxDistance@CDS3DB@CWaveOutFilter@@UAGJPAM@Z
000C7809 000C786B ?GetMinDistance@CDS3DB@CWaveOutFilter@@UAGJPAM@Z
000C7870 000C78D2 ?GetMode@CDS3DB@CWaveOutFilter@@UAGJPAK@Z
000C78D7 000C7939 ?GetPosition@CDS3DB@CWaveOutFilter@@UAGJPAU_D3DVECTOR@@@Z
000C793E 000C79A0 ?GetVelocity@CDS3DB@CWaveOutFilter@@UAGJPAU_D3DVECTOR@@@Z
000C79A5 000C7A0A ?SetAllParameters@CDS3DB@CWaveOutFilter@@UAGJPBU_DS3DBUFFER@@K@Z
000C7A0F 000C7A77 ?SetConeAngles@CDS3DB@CWaveOutFilter@@UAGJKKK@Z
000C7A7C 000C7AF5 ?SetConeOrientation@CDS3DB@CWaveOutFilter@@UAGJMMMK@Z
000C7AFA 000C7B5F ?SetConeOutsideVolume@CDS3DB@CWaveOutFilter@@UAGJJK@Z
000C7B64 000C7BCD ?SetMaxDistance@CDS3DB@CWaveOutFilter@@UAGJMK@Z
000C7BD2 000C7C3B ?SetMinDistance@CDS3DB@CWaveOutFilter@@UAGJMK@Z
000C7C40 000C7CA5 ?SetMode@CDS3DB@CWaveOutFilter@@UAGJKK@Z
000C7CAA 000C7D23 ?SetPosition@CDS3DB@CWaveOutFilter@@UAGJMMMK@Z
000C7D28 000C7DA1 ?SetVelocity@CDS3DB@CWaveOutFilter@@UAGJMMMK@Z
000C7DA6 000C7DE7 ?RestartWave@CWaveOutFilter@@AAEXXZ
000C7DEC 000C7E7C ?QueueEOS@CWaveOutFilter@@AAEJXZ
000C7E81 000C7EF0 ?DynamicDisconnect@CWaveOutInputPin@@UAGJXZ
000C7EF5 000C7F7D ?CreateAllocator@CWaveOutInputPin@@AAEJPAUtWAVEFORMATEX@@@Z
000C7F82 000C8071 ?BeginFlush@CWaveOutInputPin@@UAGJXZ
000C8076 000C8097 ??_GCWaveAllocator@@UAEPAXI@Z
000C809C 000C815C ?LockBuffers@CWaveAllocator@@AAGJH@Z
000C8161 000C8264 ?Alloc@CWaveAllocator@@EAEJXZ
000C8269 000C82BE ?OnAcquire@CWaveAllocator@@QAEJPAUHWAVE__@@@Z
000C82C3 000C830C ?ReleaseResource@CWaveAllocator@@QAEJXZ
000C8311 000C832B ?RestartWave@CWaveOutFilter@@CGXK@Z
000C8330 000C8499 ?ReOpenWaveDevice@CWaveOutFilter@@AAEJPAVCMediaType@@@Z
000C849E 000C84A8 ?GetClassID@CWaveOutFilter@@WEM@AGJPAU_GUID@@@Z
000C84AD 000C84B7 ?GetClassID@CWaveOutFilter@@WFE@AGJPAU_GUID@@@Z
000C84BC 000C852B ?AcquireResource@CWaveOutFilter@@UAGJJ@Z
000C8530 000C8608 ?ReleaseResource@CWaveOutFilter@@UAGJJ@Z
000C860D 000C86A9 ?SetUpRestartWave@CWaveOutFilter@@AAEJ_J0@Z
000C86AE 000C87DB ?CopyToOurSample@CWaveOutInputPin@@AAEJPAUIMediaSample@@AAPAEAAJ@Z
000C87E0 000C88A1 ?Reserve@CWaveOutFilter@@EAGJKPAX@Z
000C88A6 000C8911 ?Free@CWaveAllocator@@EAEXXZ
000C8916 000C894F ?put_Rate@CARPosPassThru@@UAGJN@Z
000C8954 000C89A0 ?OnMasterSlaveTime@CWaveOutClock@@QAEX_J0@Z
000C89A5 000C89F2 ?UpdateBytePositionData@CWaveOutClock@@QAEXKK@Z
000C89F7 000C8ACD ?ReadDevicePosition@CWaveOutClock@@QAE_JH@Z
000C8AD2 000C8B58 ?GetMasterClockTime@CWaveSlave@@IAE_J_JH@Z
000C8B5D 000C8D18 ?GetSlaveClockTime@CWaveSlave@@IAE_J_J0H@Z
000C8D1D 000C8DCB ?IsPushSourceAClock@CWaveSlave@@IAEHPAUIUnknown@@@Z
000C8DD0 000C9301 ?AdjustSlaveClock@CWaveSlave@@IAEJAB_J0PAJH@Z
000C9306 000C9381 ?get_Balance@CBasicAudioControl@@UAGJPAJ@Z
000C9386 000C93EC ?get_Volume@CBasicAudioControl@@UAGJPAJ@Z
000C93F1 000C953E ?SyncReadAligned@CAsyncOutputPin@@UAGJPAUIMediaSample@@@Z
000C9543 000C95B7 ?GetCurFile@CAsyncReader@@UAGJPAPAGPAU_AMMediaType@@@Z
000C95BC 000C95C1 ??_ECAsyncOutputPin@@W7AEPAXI@Z
000C95C6 000C95D0 ?BeginFlush@CAsyncOutputPin@@WBE@AGJXZ
000C95D5 000C95DF ?EndFlush@CAsyncOutputPin@@WBE@AGJXZ
000C95E4 000C9605 ??_ECAsyncOutputPin@@UAEPAXI@Z
000C960A 000C9667 ?SyncReadAligned@CAsyncFile@@QAEJ_JJPAEPAJ@Z
000C966C 000C9688 ??1CPersistMoniker@@MAE@XZ
000C968D 000C96A8 ?GetClassID@CPersistMoniker@@UAGJPAU_GUID@@@Z
000C96AD 000C96CE ??_GCPersistMoniker@@MAEPAXI@Z
000C96D3 000C970E ?NonDelegatingQueryInterface@CPersistMoniker@@UAGJABU_GUID@@PAPAX@Z
000C9713 000C9789 ?UseFilename@@YGGPBG@Z
000C978E 000C97A8 ?Load@CPersistMoniker@@UAGJPBGK@Z
000C97AD 000C97B7 ?GetClassID@CPersistMoniker@@W3AGJPAU_GUID@@@Z
000C97BC 000C97C6 ?IsDirty@CPersistMoniker@@W3AGJXZ
000C97CB 000C97E8 ?StringCchCopyW@@YGJPAGIPBG@Z
000C97ED 000C9933 ?GetCanonicalizedURL@CPersistMoniker@@AAEJPAUIMoniker@@PAUIBindCtx@@PAPAGPAH@Z
000C9938 000C9ACE ?Load@CPersistMoniker@@UAGJHPAUIMoniker@@PAUIBindCtx@@K@Z
000C9AD3 000C9B3C ??0CPersistMoniker@@IAE@PAGPAUIUnknown@@PAJ@Z
000C9B41 000C9B76 ?CreateInstance@CPersistMoniker@@SGPAVCUnknown@@PAUIUnknown@@PAJ@Z
000C9B7B 000C9B9F ??1CURLOutputPin@@UAE@XZ
000C9BA4 000C9BB6 ?CheckConnect@CURLOutputPin@@UAEJPAUIPin@@@Z
000C9BBB 000C9BD8 ?CompleteConnect@CURLOutputPin@@UAEJPAUIPin@@@Z
000C9BDD 000C9C1A ?NonDelegatingQueryInterface@CURLOutputPin@@UAGJABU_GUID@@PAPAX@Z
000C9C1F 000C9C54 ?GetMediaType@CURLOutputPin@@UAEJHPAVCMediaType@@@Z
000C9C59 000C9CC5 ?CheckMediaType@CURLOutputPin@@UAEJPBVCMediaType@@@Z
000C9CCA 000C9D48 ?InitAllocator@CURLOutputPin@@IAEJPAPAUIMemAllocator@@@Z
000C9D4D 000C9DCB ?RequestAllocator@CURLOutputPin@@UAGJPAUIMemAllocator@@PAU_AllocatorProperties@@PAPAU2@@Z
000C9DD0 000C9E1B ?Length@CURLOutputPin@@UAGJPA_J0@Z
000C9E20 000C9E99 ?NonDelegatingQueryInterface@CURLReader@@UAGJABU_GUID@@PAPAX@Z
000C9E9E 000C9F2E ?CompareUnderMask@@YGHPAUIStream@@PBVCExtractQuadruplets@@@Z
000C9F33 000C9F9A ?GetCurFile@CURLReader@@UAGJPAPAGPAU_AMMediaType@@@Z
000C9F9F 000C9FB2 ?GetPinCount@CURLReader@@UAEHXZ
000C9FB7 000C9FE9 ?GetPin@CURLReader@@UAEPAVCBasePin@@H@Z
000C9FEE 000CA03E ?OnStartBinding@CURLCallback@@UAGJKPAUIBinding@@@Z
000CA043 000CA05A ?GetPriority@CURLCallback@@UAGJPAJ@Z
000CA05F 000CA08B ?OnProgress@CURLCallback@@UAGJKKKPBG@Z
000CA090 000CA0F2 ?OnStopBinding@CURLCallback@@UAGJJPBG@Z
000CA0F7 000CA15B ?GetBindInfo@CURLCallback@@UAGJPAKPAU_tagBINDINFO@@@Z
000CA160 000CA1B8 ?OnDataAvailable@CURLCallback@@UAGJKKPAUtagFORMATETC@@PAUtagSTGMEDIUM@@@Z
000CA1BD 000CA26C ?ThreadProcEnd@CURLReader@@AAEKXZ
000CA271 000CA2F0 ?GetCodePage2@@YGJPAUIUnknown@@PAK@Z
000CA2F5 000CA35C ?GetCodePage@@YGKPAUIObjectWithSite@@@Z
000CA361 000CA4F7 ?StartDownload@CURLReader@@QAEJXZ
000CA4FC 000CA579 ?NonDelegatingQueryInterface@CURLCallback@@UAGJABU_GUID@@PAPAX@Z
000CA57E 000CA5A0 ?Authenticate@CURLCallback@@UAGJPAPAUHWND__@@PAPAG1@Z
000CA5A5 000CA5BB ?GetWindow@CURLCallback@@UAGJABU_GUID@@PAPAUHWND__@@@Z
000CA5C0 000CA5F3 ?QueryProgress@CURLReader@@UAGJPA_J0@Z
000CA5F8 000CA620 ?AbortOperation@CURLReader@@UAGJXZ
000CA625 000CA62D ??_ECURLOutputPin@@W7AEPAXI@Z
000CA632 000CA63C ?QueryInterface@CAsyncOutputPin@@WBI@AGJABU_GUID@@PAPAX@Z
000CA641 000CA64B ?AddRef@CRenderer@@WBI@AGKXZ
000CA650 000CA65A ?Release@CAsyncOutputPin@@WBI@AGKXZ
000CA65F 000CA670 ?FinalThreadProc@CURLReader@@CGKPAX@Z
000CA675 000CA6C5 ??0CURLOutputPin@@QAE@PAJPAVCURLReader@@PAVCCritSec@@@Z
000CA6CA 000CA6EB ??_ECURLOutputPin@@UAEPAXI@Z
000CA6F0 000CA846 ?Request@CURLOutputPin@@UAGJPAUIMediaSample@@K@Z
000CA84B 000CA9FD ?SyncReadAligned@CURLOutputPin@@UAGJPAUIMediaSample@@@Z
000CAA02 000CAAC8 ?WaitForNext@CURLOutputPin@@UAGJKPAPAUIMediaSample@@PAK@Z
000CAACD 000CAC7C ?SyncRead@CURLOutputPin@@UAGJ_JJPAE@Z
000CAC81 000CAD27 ?BeginFlush@CURLOutputPin@@UAGJXZ
000CAD2C 000CAD6C ?EndFlush@CURLOutputPin@@UAGJXZ
000CAD71 000CAEB4 ??0CURLReader@@QAE@PAGPAUIUnknown@@PAJ@Z
000CAEB9 000CAEC3 ?QueryInterface@CURLReader@@WEE@AGJABU_GUID@@PAPAX@Z
000CAEC8 000CAED2 ?AddRef@CURLReader@@WEI@AGKXZ
000CAED7 000CAEE1 ?Release@CWaveOutFilter@@WEI@AGKXZ
000CAEE6 000CAEF0 ?GetClassID@CURLReader@@WEI@AGJPAU_GUID@@@Z
000CAEF5 000CB029 ?CheckBytes@@YGHPAUIStream@@PAUHKEY__@@PBGAAU_GUID@@@Z
000CB02E 000CB199 _GetMediaTypeStream@16
000CB19E 000CB237 ?CloseThread@CURLReader@@AAEJXZ
000CB23C 000CB269 ?ThreadProc@CURLReader@@AAEKXZ
000CB26E 000CB2AD ??0CURLCallback@@QAE@PAJPAVCURLReader@@@Z
000CB2B2 000CB2BC ?QueryInterface@CURLCallback@@WBA@AGJABU_GUID@@PAPAX@Z
000CB2C1 000CB2CB ?AddRef@CURLCallback@@WBA@AGKXZ
000CB2D0 000CB2DA ?Release@CURLCallback@@WBA@AGKXZ
000CB2DF 000CB2E9 ?BeginFlush@CURLOutputPin@@WBE@AGJXZ
000CB2EE 000CB2F8 ?EndFlush@CURLOutputPin@@WBE@AGJXZ
000CB2FD 000CB30E ?InitialThreadProc@CURLReader@@CGKPAX@Z
000CB313 000CB33E ?CreateInstance@CURLReader@@SGPAVCUnknown@@PAUIUnknown@@PAJ@Z
000CB343 000CB407 ??1CURLReader@@UAE@XZ
000CB40C 000CB4C2 ?StartThread@CURLReader@@AAEJXZ
000CB4C7 000CB4E8 ??_GCURLReader@@UAEPAXI@Z
000CB4ED 000CB653 ?LoadInternal@CURLReader@@QAEJPBU_AMMediaType@@@Z
000CB658 000CB685 ?Load@CURLReader@@UAGJHPAUIMoniker@@PAUIBindCtx@@K@Z
000CB68A 000CB6D8 ?Load@CURLReader@@UAGJPBGPBU_AMMediaType@@@Z
000CB6DD 000CB735 _NullPointers@0
000CB73A 000CB885 _InitVars@0
000CB88A 000CBA3F _SaveVars@4
000CBA44 000CBCC7 _RestoreVars@4
000CBCCC 000CBFE5 _AllocateMemory@0
000CBFEA 000CC0C6 _DeallocateMemory@0
000CC0CB 000CC1C8 _InitCtrl@4
000CC1CD 000CC23E _OpenAudio@4
000CC243 000CC279 _CloseAudio@4
000CC27E 000CC2E1 _ResetAudio@8
000CC2E6 000CC3D6 _DecodeAudioFrame@8
000CC3DB 000CC401 _NewPtr@8
000CC406 000CC4B8 _extract_w_crc@4
000CC4BD 000CC545 _extract@4
000CC54A 000CC626 _find_sync@0
000CC62B 000CC7A3 _get_header@8
000CC7BD 000CC847 _SelectTable@0
000CC84C 000CC99F _pick_table@4
000CC9A4 000CCD17 _process_header@0
000CCD3D 000CCE2E _X_decode_bitalloc@8
000CCE33 000CCE80 _II_lookup_bitalloc@4
000CCE85 000CCF4E _I_decode_scale@4
000CCF53 000CD087 _II_decode_scale@4
000CD09D 000CD29F _I_buffer_sample@8
000CD2A4 000CDC26 _II_buffer_sample@8
000CDC2B 000CDF55 _II_int_dequantize_sample@8
000CDF5A 000CE01E _I_int_dequantize_sample@4
000CE023 000CE192 _I_int_denormalize_sample@4
000CE197 000CE3B7 _I_dequantize_sample@4
000CE3BC 000CE551 _I_denormalize_sample@4
000CE556 000CE62E _do_mmx_mergemode@0
000CE633 000CE914 _Init_Filter@4
000CE919 000CEBF6 _Init_int_Filter@4
000CEBFB 000CF9A1 _h_filter_sample@16
000CF9A6 000CFDDA _q_int_filter_sample@16
000CFDDF 000D0574 _filt1@8
000D0579 000D0D40 _f_int_filt@8
000D0D45 000D0E3F _f_filter_sample@16
000D0E44 000D0F92 _f_int_filter_sample@16
000D0F97 000D0FEA _reconstruct_sample@8
000D0FEF 000D1196 _out_fifo@8
000D119B 000D189C _do_post_processing@4
000D18A1 000D1BB4 _DecodeFrames@4
000D1BCD 000D1CCD _Init_Group_Tabs@0
000D1CD2 000D1D86 _Init_Window@8
000D1D8B 000D21D0 _f_init_fast_filter@4
000D21D5 000D2253 _init_fast_window@4
000D2258 000D2315 _Init_int_Window@8
000D231A 000D2598 _II_dequantize_sample@8
000D259D 000D2C3A _q_filter_sample@16
000D2C3F 000D2CB8 _CloseVideo@4
000D2CBD 000D2D0C _ResetVideo@4
000D302C 000D3208 _OpenVideo@4
000D320D 000D3246 _DecodeFrame@8
000D324B 000D3A52 _init_mm_16@8
000D3A79 000D3CF2 _lsmm_16@8
000D3CF7 000D3F6B _lamm_16@8
000D3F70 000D41E9 _lsmm_ni_16@8
000D41EE 000D4462 _lamm_ni_16@8
000D4467 000D44D2 _Bibfly_intra_16@4
000D44F1 000D45B1 _bfly_intra_16@4
000D45D5 000D4640 _Bibfly_inter_16@4
000D465D 000D4714 _bfly_inter_16@4
000D473D 000D47C0 _resetblk_intra_16@4
000D47C5 000D4833 _resetblk_inter_16@0
000D4838 000D4930 _InitFrameConvert@0
000D4935 000D5473 _Convert_RGB24@4
000D5478 000D6146 _PutMacroBlock_RGB24@4
000D614B 000D6D8E _Convert_RGB32@4
000D6D93 000D7861 _PutMacroBlock_RGB32@4
000D7866 000D7DAA _Convert_RGB16@4
000D7DAF 000D8106 _Convert_HRGB16@4
000D810B 000D89CB _Convert_RGB8@4
000D89D0 000D92CA _Convert_RGB8Clipped@4
000D92CF 000D996F _PutMacroBlock_RGB8_DDB@0
000D9974 000DA023 _PutMacroBlock_RGB8_DIB@0
000DA028 000DA0B7 _decode_init_rgb16@0
000DA0BC 000DA187 _Convert_Y@4
000DA18C 000DA2D4 _Convert_420PL@0
000DA2D9 000DA496 _Convert_410PL_W@0
000DA49B 000DA6AD _Convert_422PK_W@0
000DA6B2 000DA8D4 _Convert_422SPK_W@0
000DA8D9 000DAB10 _Convert_H422SPK@0
000DAB15 000DAD3E _PutMacroBlock_420PL_@0
000DAD43 000DB147 _PutMacroBlock_RGB565_DDB@0
000DB14C 000DB53F _PutMacroBlock_RGB555_DDB@0
000DB544 000DB80F _InitFrameConvert16@0
000DB814 000DB81C _PutMacroBlock_RGB24_DDB@0
000DB821 000DB829 _PutMacroBlock_RGB24_DIB@0
000DB82E 000DB836 _PutMacroBlock_RGB32_DDB@0
000DB83B 000DB843 _PutMacroBlock_RGB32_DIB@0
000DB848 000DBC05 _FrameConvert@0
000DBC65 000DBD97 _Convert_410PL@0
000DBD9C 000DBEBB _PutMacroBlock_410PL_@0
000DBEC0 000DC189 _Convert_H422PK@0
000DC18E 000DC279 _Convert_422SPK@0
000DC27E 000DC358 _PutMacroBlock_422PK@0
000DC35D 000DC437 _PutMacroBlock_422SPK@0
000DC43C 000DC526 _PutMacroBlock_H422SPK@0
000DC52B 000DC615 _PutMacroBlock_H422PK@0
000DC61A 000DC704 _Convert_422PK@0
000DC709 000DC74A _copymb@0
000DC74F 000DC7CA _c_copymb@0
000DC7CF 000DC864 _getmb_h@0
000DC869 000DC914 _c_getmb_h@0
000DC919 000DC9D8 _getmb_v@0
000DC9DD 000DCAA5 _c_getmb_v@0
000DCAAA 000DCB5F _getmb_hv@0
000DCB64 000DCCBD _c_getmb_hv@0
000DCCC2 000DCCFE _copymb_W@0
000DCD03 000DCDB3 _c_copymb_W@0
000DCDB8 000DCE87 _getmb_h_W@0
000DCE8C 000DCF82 _c_getmb_h_W@0
000DCF87 000DD294 _getmb_v_W@0
000DD299 000DD64A _c_getmb_v_W@0
000DD64F 000DD885 _getmb_hv_W@0
000DD88A 000DDAF1 _c_getmb_hv_W@0
000DDAF6 000DDB34 _bi_copymb@0
000DDB39 000DDBC5 _bi_getmb_h@0
000DDBCA 000DDC7A _bi_getmb_v@0
000DDC7F 000DDD31 _bi_getmb_hv@0
000DDD36 000DDD9F _bi_c_copymb@0
000DDDA4 000DDFA0 _bi_c_get_avgmb_h@0
000DDFA5 000DE2AE _bi_get_avgmb_h@0
000DE2B3 000DE5C8 _bi_get_avgmb_v@0
000DE5CD 000DE8E2 _bi_get_avgmb_hv@0
000DE8E7 000DEADD _avgmb@0
000DEAE2 000DEB8E _swap_index_MMX@4
000DEBD5 000DED7C _init_mm_16_MMX@8
000DED85 000DEDEB _Bibfly_intra_16_MMX@4
000DEE0D 000DEEA8 _bfly_intra_16_MMX@4
000DEEC5 000DEF2B _Bibfly_inter_16_MMX@4
000DEF4D 000DEFE7 _bfly_inter_16_MMX@4
000DEFEC 000DF06D _resetblk_intra_16_MMX@4
000DF072 000DF0E0 _resetblk_inter_16_MMX@0
000DF0E5 000DF0F2 _DirectBFrameConvert@0
000DF0F7 000DF323 _SetupBFrameDirect@4
000DF467 000DF6DC _DecodeSequenceHeader@0
000DF6E1 000DF7E1 _DecodeGOPHeader@0
000DF7E6 000DF86B _SigmaUnscramble@8
000DF870 000DF968 _SkipFrame@0
000DF96D 000DFE79 _DecodePicture@0
000DFEB3 000E0517 _IntDecodeFrame@8
000E05EE 000E0659 _amm_16@8
000E065E 000E06C9 _smm_ni_16@8
000E06CE 000E0739 _amm_ni_16@8
000E073E 000E0959 _butterfly@0
000E095E 000E0A40 _bi_inter_sat@0
000E0A45 000E0B33 _inter_sat@0
000E0B38 000E0BFE _intra_sat@0
000E0C03 000E0CB4 _bi_intra_sat@0
000E0CB9 000E0D6F _intra_sat_W@0
000E0D74 000E0E93 _inter_sat_W@0
000E0E98 000E16DF _Convert_RGB8_W@4
000E16E4 000E1F91 _Convert_RGB8Clipped_W@4
000E1F96 000E20B1 _Convert_411PK@0
000E20B6 000E2295 _Convert_H411PK@0
000E229A 000E23AE _PutMacroBlock_411PK@0
000E23B3 000E2610 _Convert_411PK_W@0
000E2615 000E2652 _HiQGetMB_Ch@4
000E266D 000E26A0 _HiQGetMB_Lu@4
000E26B5 000E273A _GetMB_Ch@4
000E2751 000E27D6 _GetMB_Lu@4
000E27ED 000E2A66 _PutMacroBlock@0
000E2A6B 000E2BD9 _GetMacroBlock@0
000E2BDE 000E2EAD _CopyInterMacroBlock@0
000E2EB2 000E2FD7 @CacheRefresh@0
000E2FDC 000E3004 @GetBits32@0
000E3009 000E302B @NextBits32@0
000E3030 000E308E _NextStartCode@0
000E3093 000E30BC _DecodePredMacroBlockType@0
000E30C1 000E30EA _DecodeBiPredMacroBlockType@0
000E30EF 000E3207 _DecodeMacroBlockAddress@0
000E320C 000E3235 _DecodePattern@0
000E323A 000E3384 _DecodeForwardMotionVect@0
000E3389 000E34D3 _DecodeBackwardMotionVect@0
000E34D8 000E354D _resetblk_intra@4
000E3552 000E35AE _resetblk_inter@0
000E35B3 000E363B _mkcoeff@16
000E3640 000E36D5 _mkcoeff_intra@16
000E36DA 000E3C19 _init_mm@8
000E3D35 000E3E02 _smm@8
000E3E07 000E4355 _lsmm@8
000E435A 000E48A0 _lamm@8
000E48A5 000E48F8 _amm_ni@8
000E48FD 000E4950 _smm_ni@8
000E4955 000E4E35 _lsmm_ni@8
000E4E3A 000E531A _lamm_ni@8
000E531F 000E57BF _butterfly_8@0
000E57C4 000E59E1 _butterfly_ni_8@0
000E59E6 000E5CDB _Bibfly_intra@4
000E5CFD 000E602F _bfly_intra@4
000E604D 000E6379 _Bibfly_inter@4
000E639D 000E651E _bfly_inter@4
000E6729 000E679F _DecodeIntraMacroBlock@0
000E67A4 000E68B6 _DecodeSliceI@0
000E68BB 000E6A5A _DecodePredMacroBlock@0
000E6A5F 000E6B7E _DecodeSliceP@0
000E6B83 000E6BD0 _DecodeBiMcCoded_B0@4
000E6BD5 000E6DF7 _DecodeBiPredMacroBlock@0
000E6DFC 000E6F23 _DecodeSliceBi@0
000E6F28 000E6F65 _HiQBiGetMB_Ch@4
000E6F7D 000E6FB0 _HiQBiGetMB_Lu@4
000E6FC5 000E6FF8 _HiQBiAvgMB_Ch@4
000E700D 000E7040 _HiQBiAvgMB_Lu@4
000E7055 000E70DA _BiGetMB_Ch@4
000E70F1 000E7176 _BiGetMB_Lu@4
000E718D 000E7212 _BiAvgMB_Ch@4
000E7229 000E72AE _BiAvgMB_Lu@4
000E72C5 000E743A _GetMacroBlock_Bi@8
000E743F 000E7570 _GetBiMacroBlock_Bi@0
000E7575 000E75E5 _DecodeDC_Y_16@0
000E75EA 000E765A _DecodeDC_Cb_16@0
000E765F 000E76CF _DecodeDC_Cr_16@0
000E76D4 000E773D _IQuantize_N_16@8
000E7742 000E7798 _IQuantize_16@8
000E779D 000E796A _DecodeDctCoeffNext_16@8
000E796F 000E7B3C _HiQDecodeDctCoeffNext_16@8
000E7B41 000E7C0B _DecodeDctCoeffFirst_16@0
