00004B65 00004B6A ??4_Lockit@std@@QAEAAV01@ABV01@@Z
0001B5C3 0001B5F3 ?OpenLocalMachineKeyAndReadValue@CRegistry@@QAEJPBG0AAVCHString@@@Z
0001B5F8 0001B6EB ?GetCurrentBinaryKeyValue@CRegistry@@QAEKPBGAAVCHString@@@Z
0001B6F0 0001B75A ?GetCurrentSubKeyName@CRegistry@@QAEKAAVCHString@@@Z
0001B75F 0001B808 ?GetCurrentSubKeyPath@CRegistry@@QAEKAAVCHString@@@Z
0001B80D 0001B86E ?OpenSubKey@CRegistry@@AAEKXZ
0001B873 0001B89F ?GetCurrentRawSubKeyValue@CRegistry@@AAEKPBGPAXPAK2@Z
0001B8A4 0001B8CB ?GetCurrentSubKeyValue@CRegistry@@QAEKPBGPAXPAK@Z
0001B8D0 0001B8F6 ?GetCurrentSubKeyValue@CRegistry@@QAEKPBGAAVCHString@@@Z
0001B8FB 0001B921 ?GetCurrentSubKeyValue@CRegistry@@QAEKPBGAAK@Z
0001B926 0001B959 ?SetCurrentKeyValue@CRegistry@@QAEKPBGAAVCHString@@@Z
0001B95E 0001B975 ?SetCurrentKeyValue@CRegistry@@QAEKPBGAAK@Z
0001B97A 0001B991 ?SetCurrentKeyValue@CRegistry@@QAEKPBGAAVCHStringArray@@@Z
0001B996 0001BACE ?CheckAndAddToList@CRegistrySearch@@AAEXPAVCRegistry@@VCHString@@1AAVCHPtrArray@@11H@Z
0001BAD4 0001BAF5 ??_GCRegistry@@QAEPAXI@Z
0001BAFA 0001BD60 ?LocateKeyByNameOrValueName@CRegistrySearch@@QAEHPAUHKEY__@@PBG1PAPBGKAAVCHString@@3@Z
0001BD7A 0001BFF4 ?SearchAndBuildList@CRegistrySearch@@QAEHVCHString@@AAVCHPtrArray@@00HPAUHKEY__@@@Z
0001BFFA 0001C141 ?NormalizePath@@YGKPBG00KAAVCHString@@@Z
0001C146 0001C162 ?IsTokenAboutProperty@CQueryAnalyser@@KGHAAUSQL_LEVEL_1_TOKEN@@PBG@Z
0001C167 0001C1DC ?AppendQueryExpression@CQueryAnalyser@@KGXPAUSQL_LEVEL_1_RPN_EXPRESSION@@0@Z
0001C1E2 0001C29C ?AndQueryExpressions@CQueryAnalyser@@KGJPAUSQL_LEVEL_1_RPN_EXPRESSION@@00@Z
0001C2A2 0001C346 ?OrQueryExpressions@CQueryAnalyser@@KGJPAUSQL_LEVEL_1_RPN_EXPRESSION@@00@Z
0001C34C 0001C372 ??0iterator@?$deque@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$allocator@PAUSQL_LEVEL_1_RPN_EXPRESSION@@@std@@@std@@QAE@PAPAUSQL_LEVEL_1_RPN_EXPRESSION@@PAPAPAU3@@Z
0001C377 0001C3DE ?_Add@iterator@?$deque@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$allocator@PAUSQL_LEVEL_1_RPN_EXPRESSION@@@std@@@std@@IAEXH@Z
0001C3E3 0001C400 ??$fill@PAHH@std@@YGXPAH0ABH@Z
0001C405 0001C42C ??$copy_backward@PAHPAH@std@@YGPAHPAH00@Z
0001C431 0001C453 ??$fill@PAV_variant_t@@V1@@std@@YGXPAV_variant_t@@0ABV1@@Z
0001C458 0001C483 ??$copy_backward@PAV_variant_t@@PAV1@@std@@YGPAV_variant_t@@PAV1@00@Z
0001C488 0001C4A4 ??$_Allocate@V_bstr_t@@@std@@YGPAV_bstr_t@@HPAV1@@Z
0001C4A9 0001C4C5 ??$_Allocate@V_variant_t@@@std@@YGPAV_variant_t@@HPAV1@@Z
0001C4CA 0001C4FD ??$_Construct@V_variant_t@@V1@@std@@YGXPAV_variant_t@@ABV1@@Z
0001C502 0001C52A ??0?$deque@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$allocator@PAUSQL_LEVEL_1_RPN_EXPRESSION@@@std@@@std@@QAE@ABV?$allocator@PAUSQL_LEVEL_1_RPN_EXPRESSION@@@1@@Z
0001C52F 0001C5B1 ?_Freeback@?$deque@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$allocator@PAUSQL_LEVEL_1_RPN_EXPRESSION@@@std@@@std@@IAEXXZ
0001C5B6 0001C622 ?_Freefront@?$deque@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$allocator@PAUSQL_LEVEL_1_RPN_EXPRESSION@@@std@@@std@@IAEXXZ
0001C627 0001C63F ?_Getmap@?$deque@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$allocator@PAUSQL_LEVEL_1_RPN_EXPRESSION@@@std@@@std@@IAEXXZ
0001C644 0001C694 ?_Growmap@?$deque@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$allocator@PAUSQL_LEVEL_1_RPN_EXPRESSION@@@std@@@std@@IAEPAPAPAUSQL_LEVEL_1_RPN_EXPRESSION@@I@Z
0001C699 0001C6C1 ?_Ucopy@?$vector@HV?$allocator@H@std@@@std@@IAEPAHPBH0PAH@Z
0001C6C6 0001C6EA ?_Ufill@?$vector@HV?$allocator@H@std@@@std@@IAEXPAHIABH@Z
0001C6EF 0001C717 ?_Ucopy@?$vector@V_variant_t@@V?$allocator@V_variant_t@@@std@@@std@@IAEPAV_variant_t@@PBV3@0PAV3@@Z
0001C71C 0001C740 ?_Ufill@?$vector@V_variant_t@@V?$allocator@V_variant_t@@@std@@@std@@IAEXPAV_variant_t@@IABV3@@Z
0001C745 0001C782 ??$SafeExecute@V?$ScopeGuardImpl1@P6GXAAV?$stack@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$deque@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$allocator@PAUSQL_LEVEL_1_RPN_EXPRESSION@@@std@@@std@@@std@@@ZV?$RefHolder@V?$stack@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$deque@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$allocator@PAUSQL_LEVEL_1_RPN_EXPRESSION@@@std@@@std@@@std@@@@@@@ScopeGuardImplBase@@KGXAAV?$ScopeGuardImpl1@P6GXAAV?$stack@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$deque@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$allocator@PAUSQL_LEVEL_1_RPN_EXPRESSION@@@std@@@std@@@std@@@ZV?$RefHolder@V?$stack@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$deque@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$allocator@PAUSQL_LEVEL_1_RPN_EXPRESSION@@@std@@@std@@@std@@@@@@@Z
0001C78D 0001C7A5 ??$_Construct@V_bstr_t@@V1@@std@@YGXPAV_bstr_t@@ABV1@@Z
0001C7AA 0001C7B3 ??1?$ScopeGuardImpl1@P6GXAAV?$stack@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$deque@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$allocator@PAUSQL_LEVEL_1_RPN_EXPRESSION@@@std@@@std@@@std@@@ZV?$RefHolder@V?$stack@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$deque@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$allocator@PAUSQL_LEVEL_1_RPN_EXPRESSION@@@std@@@std@@@std@@@@@@QAE@XZ
0001C7B8 0001C7CF ?pop_front@?$deque@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$allocator@PAUSQL_LEVEL_1_RPN_EXPRESSION@@@std@@@std@@QAEXXZ
0001C7D4 0001C801 ?pop_back@?$deque@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$allocator@PAUSQL_LEVEL_1_RPN_EXPRESSION@@@std@@@std@@QAEXXZ
0001C806 0001C8CB ?_Buyback@?$deque@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$allocator@PAUSQL_LEVEL_1_RPN_EXPRESSION@@@std@@@std@@IAEXXZ
0001C8D0 0001C903 ??Giterator@?$deque@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$allocator@PAUSQL_LEVEL_1_RPN_EXPRESSION@@@std@@@std@@QBE?AV012@H@Z
0001C908 0001CA3B ?insert@?$vector@HV?$allocator@H@std@@@std@@QAEXPAHIABH@Z
0001CA40 0001CB85 ?insert@?$vector@V_variant_t@@V?$allocator@V_variant_t@@@std@@@std@@QAEXPAV_variant_t@@IABV3@@Z
0001CB8A 0001CBC6 ?MakeGuard@?$ScopeGuardImpl1@P6GXAAV?$stack@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$deque@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$allocator@PAUSQL_LEVEL_1_RPN_EXPRESSION@@@std@@@std@@@std@@@ZV?$RefHolder@V?$stack@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$deque@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$allocator@PAUSQL_LEVEL_1_RPN_EXPRESSION@@@std@@@std@@@std@@@@@@SG?AV1@_NP6GXAAV?$stack@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$deque@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$allocator@PAUSQL_LEVEL_1_RPN_EXPRESSION@@@std@@@std@@@std@@@ZV?$RefHolder@V?$stack@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$deque@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$allocator@PAUSQL_LEVEL_1_RPN_EXPRESSION@@@std@@@std@@@std@@@@@Z
0001CBCB 0001CBE1 ??1?$deque@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$allocator@PAUSQL_LEVEL_1_RPN_EXPRESSION@@@std@@@std@@QAE@XZ
0001CBE6 0001CC0F ?back@?$deque@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$allocator@PAUSQL_LEVEL_1_RPN_EXPRESSION@@@std@@@std@@QAEAAPAUSQL_LEVEL_1_RPN_EXPRESSION@@XZ
0001CC14 0001CC69 ?push_back@?$deque@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$allocator@PAUSQL_LEVEL_1_RPN_EXPRESSION@@@std@@@std@@QAEXABQAUSQL_LEVEL_1_RPN_EXPRESSION@@@Z
0001CC6E 0001CC9B ?insert@?$vector@HV?$allocator@H@std@@@std@@QAEPAHPAHABH@Z
0001CCA0 0001CCCD ?insert@?$vector@V_variant_t@@V?$allocator@V_variant_t@@@std@@@std@@QAEPAV_variant_t@@PAV3@ABV3@@Z
0001CCD2 0001CCFA ?_Ucopy@?$vector@V_bstr_t@@V?$allocator@V_bstr_t@@@std@@@std@@IAEPAV_bstr_t@@PBV3@0PAV3@@Z
0001CCFF 0001CD23 ?_Ufill@?$vector@V_bstr_t@@V?$allocator@V_bstr_t@@@std@@@std@@IAEXPAV_bstr_t@@IABV3@@Z
0001CD28 0001CD5F ??$MakeGuard@P6GXAAV?$stack@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$deque@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$allocator@PAUSQL_LEVEL_1_RPN_EXPRESSION@@@std@@@std@@@std@@@ZV?$RefHolder@V?$stack@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$deque@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$allocator@PAUSQL_LEVEL_1_RPN_EXPRESSION@@@std@@@std@@@std@@@@@@YG?AV?$ScopeGuardImpl1@P6GXAAV?$stack@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$deque@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$allocator@PAUSQL_LEVEL_1_RPN_EXPRESSION@@@std@@@std@@@std@@@ZV?$RefHolder@V?$stack@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$deque@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$allocator@PAUSQL_LEVEL_1_RPN_EXPRESSION@@@std@@@std@@@std@@@@@@P6GXAAV?$stack@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$deque@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$allocator@PAUSQL_LEVEL_1_RPN_EXPRESSION@@@std@@@std@@@std@@@ZV?$RefHolder@V?$stack@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$deque@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$allocator@PAUSQL_LEVEL_1_RPN_EXPRESSION@@@std@@@std@@@std@@@@@Z
0001CD64 0001CD87 ??1?$stack@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$deque@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$allocator@PAUSQL_LEVEL_1_RPN_EXPRESSION@@@std@@@std@@@std@@QAE@XZ
0001CD8C 0001CDB7 ??0?$stack@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$deque@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$allocator@PAUSQL_LEVEL_1_RPN_EXPRESSION@@@std@@@std@@@std@@QAE@ABV?$allocator@PAUSQL_LEVEL_1_RPN_EXPRESSION@@@1@@Z
0001CDBC 0001CDDE ??$fill@PAV_bstr_t@@V1@@std@@YGXPAV_bstr_t@@0ABV1@@Z
0001CDE3 0001CE0E ??$copy_backward@PAV_bstr_t@@PAV1@@std@@YGPAV_bstr_t@@PAV1@00@Z
0001CE13 0001CE44 ?AutoDestructStack@@YGXAAV?$stack@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$deque@PAUSQL_LEVEL_1_RPN_EXPRESSION@@V?$allocator@PAUSQL_LEVEL_1_RPN_EXPRESSION@@@std@@@std@@@std@@@Z
0001CE49 0001D193 ?GetNecessaryQueryForProperty@CQueryAnalyser@@SGJPAUSQL_LEVEL_1_RPN_EXPRESSION@@PBGAAPAU2@@Z
0001D198 0001D271 ?GetValuesForProp@CQueryAnalyser@@SGJPAUSQL_LEVEL_1_RPN_EXPRESSION@@PBGAAVCHStringArray@@@Z
0001D276 0001D32D ?GetValuesForProp@CQueryAnalyser@@SGJPAUSQL_LEVEL_1_RPN_EXPRESSION@@PBGAAV?$vector@HV?$allocator@H@std@@@std@@@Z
0001D332 0001D3F8 ?GetValuesForProp@CQueryAnalyser@@SGJPAUSQL_LEVEL_1_RPN_EXPRESSION@@PBGAAV?$vector@V_variant_t@@V?$allocator@V_variant_t@@@std@@@std@@@Z
0001D3FD 0001D53D ?insert@?$vector@V_bstr_t@@V?$allocator@V_bstr_t@@@std@@@std@@QAEXPAV_bstr_t@@IABV3@@Z
0001D542 0001D56F ?insert@?$vector@V_bstr_t@@V?$allocator@V_bstr_t@@@std@@@std@@QAEPAV_bstr_t@@PAV3@ABV3@@Z
0001D574 0001D664 ?GetValuesForProp@CQueryAnalyser@@SGJPAUSQL_LEVEL_1_RPN_EXPRESSION@@PBGAAV?$vector@V_bstr_t@@V?$allocator@V_bstr_t@@@std@@@std@@@Z
0001D669 0001D6FB ?GetCurrentImpersonation@CAutoImpRevert@@AAE_NH@Z
0001D700 0001D73A ?Revert@CAutoImpRevert@@AAE_NXZ
0001D73F 0001D764 ??0CAutoImpRevert@@QAE@H@Z
0001D769 0001D77B ??1CAutoImpRevert@@UAE@XZ
0001D780 0001D7A1 ??_GCAutoImpRevert@@UAEPAXI@Z
0001D7A6 0001D808 ??_L@YGXPAXIHP6EX0@Z1@Z
0001D810 0001D82F __allshl
0001D840 0001D874 __allmul
0001D880 0001D8E8 __aulldiv
0001D8F0 0001D985 __aulldvrm
0001D990 0001DA3A __alldiv
0001DA40 0001DAB5 __aullrem
