000017B4 000017C8 __EH_epilog3
003A5A6D 003A5A80 ?Allocate@?$CSmartPtrTraits@V?$CComObject@VCEnumPermissionSetSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGJAAPAV?$CComObject@VCEnumPermissionSetSection@@@Com@IsolationImplementation@@@Z
003A5A80 003A5A93 ?Allocate@?$CSmartPtrTraits@V?$CComObject@VCPermissionSetEntry@@@Com@IsolationImplementation@@@Nt@BCL@@SGJAAPAV?$CComObject@VCPermissionSetEntry@@@Com@IsolationImplementation@@@Z
003A5A93 003A5AA6 ?Allocate@?$CSmartPtrTraits@V?$CComObject@VCEnumAssemblyRequestSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGJAAPAV?$CComObject@VCEnumAssemblyRequestSection@@@Com@IsolationImplementation@@@Z
003A5AA6 003A5AB9 ?Allocate@?$CSmartPtrTraits@V?$CComObject@VCAssemblyRequestEntry@@@Com@IsolationImplementation@@@Nt@BCL@@SGJAAPAV?$CComObject@VCAssemblyRequestEntry@@@Com@IsolationImplementation@@@Z
003A5AB9 003A5ACC ?Allocate@?$CSmartPtrTraits@V?$CComObject@VCEnumEventSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGJAAPAV?$CComObject@VCEnumEventSection@@@Com@IsolationImplementation@@@Z
003A5ACC 003A5ADF ?Allocate@?$CSmartPtrTraits@V?$CComObject@VCEventEntry@@@Com@IsolationImplementation@@@Nt@BCL@@SGJAAPAV?$CComObject@VCEventEntry@@@Com@IsolationImplementation@@@Z
003A5ADF 003A5AF2 ?Allocate@?$CSmartPtrTraits@V?$CComObject@VCEnumEventMapSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGJAAPAV?$CComObject@VCEnumEventMapSection@@@Com@IsolationImplementation@@@Z
003A5AF2 003A5B05 ?Allocate@?$CSmartPtrTraits@V?$CComObject@VCEventMapEntry@@@Com@IsolationImplementation@@@Nt@BCL@@SGJAAPAV?$CComObject@VCEventMapEntry@@@Com@IsolationImplementation@@@Z
003A5B05 003A5B18 ?Allocate@?$CSmartPtrTraits@V?$CComObject@VCEnumEventTagSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGJAAPAV?$CComObject@VCEnumEventTagSection@@@Com@IsolationImplementation@@@Z
003A5B18 003A5B2B ?Allocate@?$CSmartPtrTraits@V?$CComObject@VCEventTagEntry@@@Com@IsolationImplementation@@@Nt@BCL@@SGJAAPAV?$CComObject@VCEventTagEntry@@@Com@IsolationImplementation@@@Z
003A5B2B 003A5B3E ?Allocate@?$CSmartPtrTraits@V?$CComObject@VCEnumRegistryKeySection@@@Com@IsolationImplementation@@@Nt@BCL@@SGJAAPAV?$CComObject@VCEnumRegistryKeySection@@@Com@IsolationImplementation@@@Z
003A5B3E 003A5B51 ?Allocate@?$CSmartPtrTraits@V?$CComObject@VCRegistryKeyEntry@@@Com@IsolationImplementation@@@Nt@BCL@@SGJAAPAV?$CComObject@VCRegistryKeyEntry@@@Com@IsolationImplementation@@@Z
003A5B51 003A5B64 ?Allocate@?$CSmartPtrTraits@V?$CComObject@VCEnumDirectorySection@@@Com@IsolationImplementation@@@Nt@BCL@@SGJAAPAV?$CComObject@VCEnumDirectorySection@@@Com@IsolationImplementation@@@Z
003A5B64 003A5B77 ?Allocate@?$CSmartPtrTraits@V?$CComObject@VCDirectoryEntry@@@Com@IsolationImplementation@@@Nt@BCL@@SGJAAPAV?$CComObject@VCDirectoryEntry@@@Com@IsolationImplementation@@@Z
003A5B77 003A5B8A ?Allocate@?$CSmartPtrTraits@V?$CComObject@VCEnumCounterSetSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGJAAPAV?$CComObject@VCEnumCounterSetSection@@@Com@IsolationImplementation@@@Z
003A5B8A 003A5B9D ?Allocate@?$CSmartPtrTraits@V?$CComObject@VCCounterSetEntry@@@Com@IsolationImplementation@@@Nt@BCL@@SGJAAPAV?$CComObject@VCCounterSetEntry@@@Com@IsolationImplementation@@@Z
003A5B9D 003A5BB0 ?Allocate@?$CSmartPtrTraits@V?$CComObject@VCEnumCounterSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGJAAPAV?$CComObject@VCEnumCounterSection@@@Com@IsolationImplementation@@@Z
003A5BB0 003A5BC3 ?Allocate@?$CSmartPtrTraits@V?$CComObject@VCCounterEntry@@@Com@IsolationImplementation@@@Nt@BCL@@SGJAAPAV?$CComObject@VCCounterEntry@@@Com@IsolationImplementation@@@Z
003A5BC3 003A5BD6 ?Allocate@?$CSmartPtrTraits@V?$CComObject@VCMuiResourceMapEntry@@@Com@IsolationImplementation@@@Nt@BCL@@SGJAAPAV?$CComObject@VCMuiResourceMapEntry@@@Com@IsolationImplementation@@@Z
003A5BD6 003A5BE9 ?Allocate@?$CSmartPtrTraits@V?$CComObject@VCAssemblyReferenceDependentAssemblyEntry@@@Com@IsolationImplementation@@@Nt@BCL@@SGJAAPAV?$CComObject@VCAssemblyReferenceDependentAssemblyEntry@@@Com@IsolationImplementation@@@Z
003A5BE9 003A5BFC ?Allocate@?$CSmartPtrTraits@V?$CComObject@VCDescriptionMetadataEntry@@@Com@IsolationImplementation@@@Nt@BCL@@SGJAAPAV?$CComObject@VCDescriptionMetadataEntry@@@Com@IsolationImplementation@@@Z
003A5BFC 003A5C0F ?Allocate@?$CSmartPtrTraits@V?$CComObject@VCDeploymentMetadataEntry@@@Com@IsolationImplementation@@@Nt@BCL@@SGJAAPAV?$CComObject@VCDeploymentMetadataEntry@@@Com@IsolationImplementation@@@Z
003A5C0F 003A5C22 ?Allocate@?$CSmartPtrTraits@V?$CComObject@VCDependentOSMetadataEntry@@@Com@IsolationImplementation@@@Nt@BCL@@SGJAAPAV?$CComObject@VCDependentOSMetadataEntry@@@Com@IsolationImplementation@@@Z
003A5C22 003A5C37 ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCHashElementSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCHashElementSection@@@Com@IsolationImplementation@@@Z
003A5C37 003A5C4C ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCCategoryMembershipDataSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCCategoryMembershipDataSection@@@Com@IsolationImplementation@@@Z
003A5C4C 003A5C61 ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCSubcategoryMembershipSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCSubcategoryMembershipSection@@@Com@IsolationImplementation@@@Z
003A5C61 003A5C76 ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCFileSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCFileSection@@@Com@IsolationImplementation@@@Z
003A5C76 003A5C8B ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCCategoryMembershipSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCCategoryMembershipSection@@@Com@IsolationImplementation@@@Z
003A5C8B 003A5CA0 ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCCOMRedirectionSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCCOMRedirectionSection@@@Com@IsolationImplementation@@@Z
003A5CA0 003A5CB5 ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCProgIdRedirectionSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCProgIdRedirectionSection@@@Com@IsolationImplementation@@@Z
003A5CB5 003A5CCA ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCCLRSurrogateSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCCLRSurrogateSection@@@Com@IsolationImplementation@@@Z
003A5CCA 003A5CDF ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCAssemblyReferenceSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCAssemblyReferenceSection@@@Com@IsolationImplementation@@@Z
003A5CDF 003A5CF4 ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCWindowClassSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCWindowClassSection@@@Com@IsolationImplementation@@@Z
003A5CF4 003A5D09 ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCStringSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCStringSection@@@Com@IsolationImplementation@@@Z
003A5D09 003A5D1E ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCEntryPointSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCEntryPointSection@@@Com@IsolationImplementation@@@Z
003A5D1E 003A5D33 ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCPermissionSetSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCPermissionSetSection@@@Com@IsolationImplementation@@@Z
003A5D33 003A5D48 ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCAssemblyRequestSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCAssemblyRequestSection@@@Com@IsolationImplementation@@@Z
003A5D48 003A5D5D ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCRegistryKeySection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCRegistryKeySection@@@Com@IsolationImplementation@@@Z
003A5D5D 003A5D72 ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCDirectorySection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCDirectorySection@@@Com@IsolationImplementation@@@Z
003A5D72 003A5D87 ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCFileAssociationSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCFileAssociationSection@@@Com@IsolationImplementation@@@Z
003A5D87 003A5D9C ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCEventSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCEventSection@@@Com@IsolationImplementation@@@Z
003A5D9C 003A5DB1 ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCEventMapSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCEventMapSection@@@Com@IsolationImplementation@@@Z
003A5DB1 003A5DC6 ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCEventTagSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCEventTagSection@@@Com@IsolationImplementation@@@Z
003A5DC6 003A5DDB ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCCounterSetSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCCounterSetSection@@@Com@IsolationImplementation@@@Z
003A5DDB 003A5DF0 ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCCounterSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCCounterSection@@@Com@IsolationImplementation@@@Z
003A5DF0 003A5E05 ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCEnumCMS@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCEnumCMS@@@Com@IsolationImplementation@@@Z
003A5E05 003A5E1A ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCEnumHashElementSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCEnumHashElementSection@@@Com@IsolationImplementation@@@Z
003A5E1A 003A5E2F ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCEnumFileSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCEnumFileSection@@@Com@IsolationImplementation@@@Z
003A5E2F 003A5E44 ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCEnumFileAssociationSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCEnumFileAssociationSection@@@Com@IsolationImplementation@@@Z
003A5E44 003A5E59 ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCEnumCategoryMembershipSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCEnumCategoryMembershipSection@@@Com@IsolationImplementation@@@Z
003A5E59 003A5E6E ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCEnumSubcategoryMembershipSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCEnumSubcategoryMembershipSection@@@Com@IsolationImplementation@@@Z
003A5E6E 003A5E83 ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCEnumCategoryMembershipDataSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCEnumCategoryMembershipDataSection@@@Com@IsolationImplementation@@@Z
003A5E83 003A5E98 ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCEnumCOMRedirectionSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCEnumCOMRedirectionSection@@@Com@IsolationImplementation@@@Z
003A5E98 003A5EAD ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCEnumProgIdRedirectionSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCEnumProgIdRedirectionSection@@@Com@IsolationImplementation@@@Z
003A5EAD 003A5EC2 ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCEnumCLRSurrogateSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCEnumCLRSurrogateSection@@@Com@IsolationImplementation@@@Z
003A5EC2 003A5ED7 ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCEnumAssemblyReferenceSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCEnumAssemblyReferenceSection@@@Com@IsolationImplementation@@@Z
003A5ED7 003A5EEC ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCEnumWindowClassSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCEnumWindowClassSection@@@Com@IsolationImplementation@@@Z
003A5EEC 003A5F01 ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCEnumStringSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCEnumStringSection@@@Com@IsolationImplementation@@@Z
003A5F01 003A5F16 ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCCultureSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCCultureSection@@@Com@IsolationImplementation@@@Z
003A5F16 003A5F2B ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCEnumCultureSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCEnumCultureSection@@@Com@IsolationImplementation@@@Z
003A5F2B 003A5F40 ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCEnumEntryPointSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCEnumEntryPointSection@@@Com@IsolationImplementation@@@Z
003A5F40 003A5F55 ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCEnumPermissionSetSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCEnumPermissionSetSection@@@Com@IsolationImplementation@@@Z
003A5F55 003A5F6A ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCEnumAssemblyRequestSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCEnumAssemblyRequestSection@@@Com@IsolationImplementation@@@Z
003A5F6A 003A5F7F ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCEnumEventSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCEnumEventSection@@@Com@IsolationImplementation@@@Z
003A5F7F 003A5F94 ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCEnumEventMapSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCEnumEventMapSection@@@Com@IsolationImplementation@@@Z
003A5F94 003A5FA9 ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCEnumEventTagSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCEnumEventTagSection@@@Com@IsolationImplementation@@@Z
003A5FA9 003A5FBE ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCEnumRegistryKeySection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCEnumRegistryKeySection@@@Com@IsolationImplementation@@@Z
003A5FBE 003A5FD3 ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCEnumDirectorySection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCEnumDirectorySection@@@Com@IsolationImplementation@@@Z
003A5FD3 003A5FE8 ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCEnumCounterSetSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCEnumCounterSetSection@@@Com@IsolationImplementation@@@Z
003A5FE8 003A5FFD ?Deallocate@?$CSmartPtrTraits@V?$CComObject@VCEnumCounterSection@@@Com@IsolationImplementation@@@Nt@BCL@@SGXPAV?$CComObject@VCEnumCounterSection@@@Com@IsolationImplementation@@@Z
003A5FFD 003A6028 ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCHashElementSection@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A6028 003A6053 ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCCategoryMembershipDataSection@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A6053 003A607E ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCSubcategoryMembershipSection@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A607E 003A60A9 ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCFileSection@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A60A9 003A60D4 ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCCategoryMembershipSection@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A60D4 003A60FF ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCCOMRedirectionSection@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A60FF 003A612A ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCProgIdRedirectionSection@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A612A 003A6155 ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCCLRSurrogateSection@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A6155 003A6180 ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCAssemblyReferenceSection@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A6180 003A61AB ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCWindowClassSection@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A61AB 003A61D6 ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCStringSection@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A61D6 003A6201 ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCEntryPointSection@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A6201 003A622C ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCPermissionSetSection@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A622C 003A6257 ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCAssemblyRequestSection@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A6257 003A6282 ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCRegistryKeySection@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A6282 003A62AD ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCDirectorySection@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A62AD 003A62D8 ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCFileAssociationSection@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A62D8 003A6303 ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCEventSection@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A6303 003A632E ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCEventMapSection@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A632E 003A6359 ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCEventTagSection@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A6359 003A6384 ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCCounterSetSection@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A6384 003A63AF ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCCounterSection@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A63AF 003A63DA ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCMetadataSectionEntry@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A63DA 003A6405 ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCEnumCMS@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A6405 003A6430 ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCEnumHashElementSection@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A6430 003A645B ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCHashElementEntry@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A645B 003A6486 ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCEnumFileSection@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A6486 003A64B1 ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCFileEntry@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A64B1 003A64DC ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCEnumFileAssociationSection@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A64DC 003A6507 ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCFileAssociationEntry@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A6507 003A6532 ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCEnumCategoryMembershipSection@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A6532 003A655D ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCCategoryMembershipEntry@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A655D 003A6588 ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCEnumSubcategoryMembershipSection@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A6588 003A65B3 ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCSubcategoryMembershipEntry@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A65B3 003A65DE ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCEnumCategoryMembershipDataSection@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A65DE 003A6609 ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCCategoryMembershipDataEntry@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A6609 003A6634 ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCEnumCOMRedirectionSection@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A6634 003A665F ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCCOMServerEntry@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A665F 003A668A ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCEnumProgIdRedirectionSection@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A668A 003A66B5 ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCProgIdRedirectionEntry@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A66B5 003A66E0 ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCEnumCLRSurrogateSection@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A66E0 003A670B ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCCLRSurrogateEntry@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A670B 003A6736 ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCEnumAssemblyReferenceSection@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A6736 003A6761 ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCAssemblyReferenceEntry@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
003A6761 003A678C ?Allocate@?$CSmartPtr@V?$CSmartPtrTraits@V?$CComObject@VCEnumWindowClassSection@@@Com@IsolationImplementation@@@Nt@BCL@@@BCL@@QAE?AVCCallDisposition@Nt@2@XZ
