000068F0 0000691A _MapPredefinedHandle@8
00067851 000678DD _GetServiceKeyNameW@16
000678F1 0006795C _LockServiceDatabase@4
00067971 00067A5D _QueryServiceConfig2A@20
00067A71 00067B5D _QueryServiceConfig2W@20
00067B71 00067BEC _QueryServiceLockStatusA@16
00067C01 00067C7C _QueryServiceLockStatusW@16
00067C91 00067CF8 _UnlockServiceDatabase@4
00067D09 00067D31 _EnumServicesStatusW@32
00067D36 00067E31 ?ScCreateDispatchTableA@@YGKPBU_SERVICE_TABLE_ENTRYA@@PAPAU_INTERNAL_DISPATCH_ENTRY@@@Z
00067E49 00067E88 ?ScExpungeMessage@@YGXPAX@Z
00067E8D 00067EAC ?ScRestoreDispatchEntry@@YGXPAUSC_HANDLE__@@PAX1@Z
00067EB1 00067FAF _StartServiceCtrlDispatcherA@4
00067FB4 00067FD6 _RDeleteService@4
00067FDB 00067FFD _RLockServiceDatabase@8
00068002 00068024 _RQueryServiceObjectSecurity@20
00068029 0006804B _RSetServiceObjectSecurity@16
00068050 00068072 _RUnlockServiceDatabase@4
00068077 00068099 _RChangeServiceConfigW@52
0006809E 000680C0 _RCreateServiceW@64
000680C5 000680E7 _REnumDependentServicesW@24
000680EC 0006810E _REnumServicesStatusW@32
00068113 00068135 _RQueryServiceLockStatusW@16
0006813A 0006815C _RGetServiceDisplayNameW@16
00068161 00068183 _RGetServiceKeyNameW@16
00068188 000681AA _RI_ScSetServiceBitsA@20
000681AF 000681D1 _RChangeServiceConfigA@52
000681D6 000681F8 _RCreateServiceA@64
000681FD 0006821F _REnumDependentServicesA@24
00068224 00068246 _RQueryServiceLockStatusA@16
0006824B 0006826D _RGetServiceDisplayNameA@16
00068272 00068294 _RGetServiceKeyNameA@16
00068299 000682BB _REnumServiceGroupW@36
000682C0 000682E2 _RChangeServiceConfig2A@12
000682E7 00068309 _RChangeServiceConfig2W@12
0006830E 00068330 _RQueryServiceConfig2A@20
00068335 00068357 _RQueryServiceConfig2W@20
0006835C 0006837E _REnumServicesStatusExA@40
00068383 000683A5 _REnumServicesStatusExW@40
000683CB 000683F4 _Wow64Win32ApiEntry@12
000683F9 000684BE _A_SHAUpdateNS@12
000684C3 0006856F _A_SHAFinalNS@8
00068574 000685A0 _BenalohModSquare@12
000685A5 0006863C _BenalohScramblePowerTable@12
00068641 00068677 _BenalohGetPower@20
0006867C 000686C9 _SetValDWORD@12
000686CE 0006872C _ElfChangeNotify@8
00068741 000687C2 _ElfOpenBackupEventLogW@12
000687D9 00068829 _ElfClearEventLogFileW@8
00068841 000688CF _ElfBackupEventLogFileW@8
000688E1 00068975 _ElfReadEventLogW@28
00068989 00068A0A _ElfOpenBackupEventLogA@12
00068A21 00068A71 _ElfClearEventLogFileA@8
00068A89 00068B17 _ElfBackupEventLogFileA@8
00068B29 00068B76 _ElfFlushEventLog@4
00068B89 00068BAB _ElfrClearELFW@8
00068BB0 00068BD2 _ElfrBackupELFW@8
00068BD7 00068BF9 _ElfrChangeNotify@16
00068BFE 00068C20 _ElfrOpenBELW@20
00068C25 00068C47 _ElfrReadELW@28
00068C4C 00068C6E _ElfrClearELFA@8
00068C73 00068C95 _ElfrBackupELFA@8
00068C9A 00068CBC _ElfrOpenBELA@20
00068CC1 00068CE3 _ElfrFlushEL@4
00068CE8 00068D25 ?I_DigestFunction@@YGHPAXPAEK@Z
00068D2A 00068F40 _MinCryptHashFile@20
00068F51 0006904D ?I_GetAuthAttributes@@YGJPAU_CRYPTOAPI_BLOB@@KQAU1@0PAK@Z
00069052 00069078 ??0EXCLUDE_LIST@@QAE@XZ
0006907D 000690A5 ??1EXCLUDE_LIST@@QAE@XZ
000690AA 000690D1 ?Init@EXCLUDE_LIST@@QAEXPAU_LOADED_IMAGE@@P6GHPAXPAEK@Z1@Z
000690D6 00069119 ?Add@EXCLUDE_LIST@@QAEXKK@Z
0006911E 000691A5 ?Emit@EXCLUDE_LIST@@QAEHPAEK@Z
000691AA 00069316 _imagehack_ImageGetDigestStream@16
00069329 00069390 _MinCryptDecodeHashAlgorithmIdentifier@4
000693F5 000694DB _MinCryptHashMemory@20
000694E0 00069509 ?I_ReverseAndCopyBytes@@YGXPAEPBEK@Z
0006950E 000695CF ?I_ConvertParsedRSAPubKeyToBSafePubKey@@YGJQAU_CRYPTOAPI_BLOB@@PAU_BSAFE_PUB_KEY_CONTENT@@@Z
000695D4 000696C9 ?I_VerifyPKCS1SigningFormat@@YGJPAUBSAFE_PUB_KEY@@IPAEK1@Z
000696CE 000697D4 _MinCryptVerifySignedHash@20
000697D9 00069844 _MinAsn1DecodeLength@12
00069849 000698B7 _MinAsn1ExtractContent@16
000698BC 00069AF6 _MinAsn1ExtractValues@24
00069AFB 00069B5F _MinAsn1FindAttribute@12
00069B64 00069BB4 _MinAsn1ParseCertificate@12
00069CAD 00069CE3 _MinAsn1ParseAlgorithmIdentifier@8
00069D11 00069D47 _MinAsn1ParsePublicKeyInfo@8
00069D71 00069DA7 _MinAsn1ParseRSAPublicKey@8
00069DD1 00069E05 _MinAsn1ParseSignedData@12
00069F2D 00069FB1 _MinAsn1ParseSignedDataCertificates@12
00069FB6 0006A04F _MinAsn1ParseAttributes@12
0006A085 0006A0BB _MinAsn1ParseIndirectData@8
0006A125 0006A1BA ?I_MinCryptFindSignerCertificateByIssuerAndSerialNumber@@YGPAU_CRYPTOAPI_BLOB@@PAU1@0KQAY0P@U1@@Z
0006A1BF 0006A28D ?I_MinCryptVerifySignerAuthenticatedAttributes@@YGJIQAEPAKPAU_CRYPTOAPI_BLOB@@@Z
0006A29D 0006A470 _MinCryptVerifySignedData@12
0006A481 0006A527 ?I_CheckIsTestRootAllowed@@YGKXZ
0006A60F 0006A688 ?I_MinCryptFindRootByName@@YGKPAU_CRYPTOAPI_BLOB@@PAPAU1@@Z
0006A68D 0006A706 ?I_MinCryptFindRootByKey@@YGKPAU_CRYPTOAPI_BLOB@@PAPAU1@@Z
0006A70B 0006A774 ?I_MinCryptFindIssuerCertificateByName@@YGPAU_CRYPTOAPI_BLOB@@PAU1@KQAY0P@U1@@Z
0006A779 0006A892 _MinCryptVerifyCertificate@12
0006A897 0006A89D _RtlConvertToAutoInheritSecurityObject@24
0006A8A2 0006A8A8 _swprintf
0006A8AD 0006A8B3 _DbgPrint
0006A8B8 0006A8BE _wcstoul
0006A8C3 0006A8C9 __ultow
0006A8CE 0006A8D4 _wcsncmp
0006A8D9 0006A8DF _wcstombs
0006A8E4 0006A8EA _mbstowcs
0006A8EF 0006A8F5 __ftol
0006A8FA 0006A900 _RtlFlushSecureMemoryCache@8
0006A905 0006A935 _LsapDsSizeAuthInfo@8
0006A93A 0006A9BD _LsapDsMarshalAuthInfo@12
0006A9C2 0006AA9B _LsapDsMarshalAuthInfoHalf@12
0006AAB1 0006AAD3 _SeclCreateProcessWithLogonW@12
0006AAD8 0006AAFA _SeclCreateProcessWithLogonExW@12
0006AAFF 0006AB17 _SECL_HANDLE_XmitTranslateToXmit@4
0006AB1C 0006AB33 _SECL_HANDLE_XmitTranslateFromXmit@4
0006AB38 0006AB4C _SECL_HANDLE_XmitFreeXmit@4
0006AB51 0006AB65 _SECL_HANDLE_XmitFreeInst@4
0006AB6A 0006ABA7 ?ScInitializeAllowedAce@@YGJPAU_ACCESS_ALLOWED_ACE@@GEEKPAX@Z
0006ABAC 0006ABE9 ?ScInitializeDeniedAce@@YGJPAU_ACCESS_DENIED_ACE@@GEEKPAX@Z
0006ABEE 0006AC2B ?ScInitializeAuditAce@@YGJPAU_ACCESS_ALLOWED_ACE@@GEEKPAX@Z
0006AC30 0006AEC3 _ScCreateAndSetSD@20
0006AEC8 0006AFB8 _ScCreateStartEventSD@4
0006AFBD 0006AFEF _ScWStrArraySize@4
0006AFF4 0006B02D _ScAStrArraySize@4
0006B032 0006B07A _ScAddWStrToWStrArray@8
0006B07F 0006B14B _ScEncryptPassword@16
0006B150 0006B195 ?ScConvertToAnsi@@YGHPADPBG@Z
0006B19A 0006B278 _TrackObjectDataPrint@4
0006B31B 0006B349 _TrackObjectDataInit@16
0006B34E 0006B37F _TrackObjectDataClear@4
0006B384 0006B3C7 _RegLeakTableInit@8
0006B3CC 0006B44D _RegLeakTableRemoveKey@8
0006B452 0006B501 _RegLeakTableIsTrackedObject@8
0006B506 0006B51C _UnTrackObject@4
0006B521 0006B606 _GetLeakStack@12
0006B60B 0006B647 _RegLeakTableClear@4
0006B64C 0006B6F0 _RegLeakTableAddKey@8
0006B6F5 0006B70B _TrackObject@4
0006B710 0006B724 _LocalOpenPerformanceText@12
0006B729 0006B73D _LocalOpenPerformanceNlsText@12
0006B742 0006B748 _LocalOpenDynData@12
0006B74D 0006B770 _KeySemanticsGetSid@8
0006B775 0006B88C _GetFixedKeyInfo@28
0006B891 0006BA08 _BaseRegMapClassOnAccessDenied@16
0006BA0D 0006BB47 _ExtractClassKey@8
0006BB59 0006BDBA _CreateMultipartUserClassKey@8
0006BDBF 0006BE20 _LocalBaseRegUnLoadKey@8
0006BE25 0006C004 _LocalBaseRegReplaceKey@16
0006C009 0006C054 _GetSubKeyCount@8
0006C059 0006C2C6 _ClassKeyCountSubKeys@20
0006C2CB 0006C347 _CombineKeyInfo@20
0006C34C 0006C400 _LocalBaseRegQueryMultipleValues@20
0006C405 0006C562 _LocalBaseRegRestoreKey@12
0006C567 0006C6EE _LocalBaseRegSaveKey@12
0006C6F3 0006C835 _LocalBaseRegSaveKeyEx@16
0006C83A 0006C8E0 _LoadImageHLP@0
0006C95A 0006CAA1 _InitDebug@0
0006CAD0 0006CB26 _StopDebug@0
0006CB2B 0006CB56 _ReadMem@20
0006CB5B 0006CD08 _GetStack@20
0006CD0D 0006CD86 _GetCallStack@16
0006CD99 0006CDE8 _ValStateReleaseValues@8
0006CDED 0006CE70 _ValStateAddValueToSortedValues@8
0006CE75 0006CF0F _EnumerateValue@20
0006CF14 0006D0B0 _BaseRegQueryAndMergeValues@28
0006D0B5 0006D27D _ValStateUpdate@4
0006D282 0006D30F _BaseRegQueryMultipleClassKeyValues@24
0006D314 0006D722 _WinPerfStartTrace@4
0006D833 0006D950 _WinPerfDbgTrace
0006D961 0006DC61 _PerfRegCloseKey@4
0006DC66 0006DDD1 _PerfRegSetValue@24
0006DDD6 0006DE02 _PerfRegEnumKey@24
0006DE07 0006DE86 _PerfEnumTextValue@32
0006DEA9 0006E093 _PerfRegQueryInfoKey@44
0006E131 0006E21A _PerfRegEnumValue@32
0006E21F 0006E3AD _GetPerflibKeyValue@24
0006E3B2 0006E42D _GetNextNumberFromList@8
0006E432 0006E4F4 _MonBuildPerfDataBlock@16
0006E4F9 0006E5AA _KillPerflibFunctionTimer@4
0006E5AF 0006E724 _DestroyPerflibFunctionTimer@0
0006E729 0006E7E4 _GetPerfDllFileInfo@8
0006E7E9 0006E84C _DisableLibrary@8
0006E851 0006E889 _DisablePerfLibrary@4
0006E88E 0006E932 _PerfUpdateErrorCount@8
0006E955 0006EAEA _PerflibTimerFunction@4
0006EAEF 0006ED14 _StartPerflibFunctionTimer@4
0006ED19 0006EEB8 _StringCopyExWorkerW@28
0006EEBD 0006F117 _PerflibCreateSD@0
0006F129 0006F146 _StringCchCopyW@12
0006F14B 0006F17E _StringCchCopyExW@24
0006F183 00070045 _AllocateAndInitializeExtObject@12
00070207 00070794 _OpenExtensibleObjects@0
00070971 000709E5 _PerfGetPrimaryLangId@8
000709EA 00070A7F _PerfGetLangId@4
00070A84 00070B67 _PerflibRename004File@12
00070B77 00070BB7 _GetTimeAsLongLong@0
00070BBC 00070C3F _RegisterExtObjListAccess@0
00070C44 00070CC7 _DeRegisterExtObjListAccess@0
00070CCC 00071C97 _QueryExtensibleData@4
00071CA9 00071D00 _ServiceIsTrustedByDefault@4
00071D0F 00071E23 _CloseExtObjectLibrary@8
00071E39 000725CD _OpenExtObjectLibrary@4
000725E9 00072632 _wRegConn_Netbios@12
00072637 00072650 _RegConn_nb_nb@8
0007266D 00072686 _RegConn_nb_tcp@8
000726A7 000726C0 _RegConn_nb_ipx@8
000726DF 000726F8 _RegConn_np@8
00072717 00072730 _RegConn_spx@8
00072749 00072762 _RegConn_ip_tcp@8
00072767 000727D3 _NewShutdownCallback@12
000727E9 00072858 _NewShutdownCallbackEx@12
00072869 0007288B _BaseInitiateShutdown@20
00072890 000728B2 _BaseInitiateShutdownEx@24
000728B7 000728BD _QueryWin31IniFilesMappedToRegistry@16
000728C2 000728C8 _FreeVirtualBuffer@4
000728CD 000728D3 _VirtualBufferExceptionHandler@12
000728D8 000728DE _CreateVirtualBuffer@12
000728E3 000728E9 _DelayLoadFailureHook@8
000728EE 000728F8 __imp_load__LsaDeregisterLogonProcess@4
000728FD 00072903 _LsaDeregisterLogonProcess@4
00072908 00072912 __imp_load__LsaFreeReturnBuffer@4
00072917 0007291D _LsaFreeReturnBuffer@4
00072922 00072928 __alloca_probe
